filename,filetype,predict-order,predict-saturation,predict-sat-granularity,actual-order,actual-saturation,actual-sat-granularity
2D8_gradient_10x10_10,pnml,chain-prev,sat-like,1,chain,sat-like,1
2D8_gradient_10x10_50,pnml,chain-prev,sat-like,1,chain-prev,sat-like,1
2D8_gradient_20x20_10,pnml,chain-prev,sat-like,1,chain,sat-like,5
2D8_gradient_30x30_10,pnml,chain-prev,sat-like,1,chain-prev,sat-like,5
2D8_gradient_40x40_10,pnml,chain-prev,sat-like,1,chain-prev,sat-like,20
2D8_gradient_5x5_10,pnml,chain-prev,sat-like,1,chain,sat-like,1
2D8_gradient_5x5_100,pnml,chain-prev,sat-like,1,bfs-prev,sat-like,1
2D8_gradient_5x5_150,pnml,chain-prev,sat-like,1,bfs-prev,sat-like,1
2D8_gradient_5x5_200,pnml,chain-prev,sat-like,1,bfs-prev,sat-like,1
2D8_gradient_5x5_50,pnml,chain-prev,sat-like,1,bfs-prev,sat-like,1
afcs_01_a,pnml,chain-prev,sat-like,1,chain-prev,sat-like,5
afcs_01_b,pnml,chain-prev,sat-like,1,chain,sat-like,10
afcs_02_a,pnml,chain-prev,sat-like,1,chain,sat-like,1
afcs_02_b,pnml,chain-prev,sat-like,1,chain-prev,sat-like,40
afcs_03_a,pnml,chain-prev,sat-like,1,chain,sat-like,5
afcs_03_b,pnml,chain-prev,sat-like,1,chain-prev,sat-like,10
afcs_04_a,pnml,chain-prev,sat-like,1,chain,sat-like,5
afcs_05_a,pnml,chain-prev,sat-like,1,chain,sat-like,5
afcs_06_a,pnml,chain-prev,sat-like,1,chain,sat-like,5
afcs_12_a,pnml,chain-prev,sat-like,1,chain-prev,sat-like,1
afcs_24_a,pnml,chain-prev,sat-like,1,chain-prev,sat-like,1
at.1,dve2C,chain-prev,sat-like,1,chain-prev,sat-loop,5
at.2,dve2C,chain-prev,sat-like,1,chain-prev,sat-loop,5
at.3,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,1
at.4,dve2C,chain-prev,sat-like,1,bfs-prev,sat-like,1
at.5,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,1
at.6,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,1
at.7,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,5
bopdp.1,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,1
bopdp.2,dve2C,chain-prev,sat-like,1,bfs-prev,sat-like,1
bopdp.3,dve2C,chain-prev,sat-like,1,chain-prev,sat-loop,10
BridgeAndVehicles-V04-P05-N02-unfolded,pnml,chain-prev,sat-like,1,chain-prev,sat-like,1
BridgeAndVehicles-V10-P10-N10-unfolded,pnml,chain-prev,sat-like,1,chain-prev,sat-like,1
BridgeAndVehicles-V20-P10-N10-unfolded,pnml,chain-prev,sat-like,1,chain-prev,sat-like,5
BridgeAndVehicles-V20-P20-N10-unfolded,pnml,chain-prev,sat-like,1,bfs-prev,sat-like,1
cambridge.1,dve2C,chain-prev,sat-like,1,chain-prev,sat-loop,10
cambridge.2,dve2C,chain-prev,sat-like,1,chain-prev,sat-loop,10
cambridge.3,dve2C,chain-prev,sat-like,1,chain-prev,sat-loop,10
cambridge.4,dve2C,chain-prev,sat-like,1,chain-prev,none,
cambridge.5,dve2C,chain-prev,sat-like,1,chain-prev,sat-loop,20
cambridge.6,dve2C,chain-prev,sat-like,1,bfs-prev,sat-like,1
cambridge.7,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,20
erk-000001,pnml,chain-prev,sat-like,1,bfs,sat-like,1
erk-000010,pnml,chain-prev,sat-like,1,chain-prev,sat-like,1
erk-000100,pnml,chain-prev,sat-like,1,chain-prev,sat-like,5
