"filename","filetype","bandwidth","profile","span","average.wavefront","RMS.wavefront","state.vector.length","groups","event.span","event.span.norm","weighted.event.span","weighted.event.span.norm","order","saturation","sat.granularity"
"afcs_01_a","pnml",92,4235,5117,13.178,14.205,32,30,232,0.242,303,0.316,"chain-prev","sat-like",5
"afcs_01_b","pnml",187,12977,16275,14.5163,15.4801,114,112,889,0.069627,1057.9,0.082854,"chain","sat-like",10
"afcs_02_a","pnml",218,10371,12506,17.656,18.45,57,55,525,0.1675,654.2,0.2087,"chain","sat-like",1
"afcs_02_b","pnml",306,33023,41409,21.4403,22.7721,206,204,2393,0.056944,2516.2,0.059875,"chain-prev","sat-like",40
"afcs_03_a","pnml",353,24882,28254,23.3759,25.5045,82,80,1212,0.1848,1679,0.256,"chain","sat-like",5
"afcs_03_b","pnml",388,68096,81290,28.67729,30.19258,298,296,4639,0.052592,5620.9,0.063723,"chain-prev","sat-like",10
"afcs_04_a","pnml",379,39901,46029,29.6165,32.2014,107,105,1770,0.15754,2367.4,0.21072,"chain","sat-like",5
"afcs_05_a","pnml",530,61187,69261,33.446,36.9104,132,130,2874,0.16748,4001.6,0.2332,"chain","sat-like",5
"afcs_06_a","pnml",489,81105,93572,39.7724,43.5103,157,155,3506,0.14407,4662.1,0.19158,"chain","sat-like",5
"afcs_12_a","pnml",951,296078,336382,69.36162,76.59375,307,305,12182,0.1301,16268,0.17374,"chain-prev","sat-like",1
"afcs_24_a","pnml",1875,1133476,1271482,128.0112,142.3574,607,605,45194,0.123066,60641.6,0.16513,"chain-prev","sat-like",1
"AirplaneLD-pt-0010","pnml",356,34594,39554,16.9871,18.4777,89,88,2395,0.3058,3290,0.42,"chain","sat-loop",20
"AirplaneLD-pt-0020","pnml",771,139398,150528,20.0375,22.3687,159,168,9135,0.34198,12395,0.46401,"chain-prev","sat-loop",20
"AirplaneLD-pt-0050","pnml",2016,870148,906483,24.77234,29.58727,369,408,55695,0.369939,74378.3,0.494037,"chain","sat-loop",80
"AirplaneLD-pt-0100","pnml",4119,3595985,3743658,56.375625,77.466784,719,808,221275,0.380883,293463,0.505142,"chain-prev","sat-loop",20
"AirplaneLD-pt-0200","pnml",8269,14401183,14919283,98.082146,147.79136,1419,1608,882475,0.3867532,1166017,0.5110183,"chain-prev","sat-loop",40
"AirplaneLD-pt-0500","pnml",20719,90077778,93041158,222.86592,360.658969,3519,4008,5506075,0.39038682,7257968.9,0.51459803,"chain-prev","sat-loop",10
"AirplaneLD-pt-1000","pnml",41441,346679648,352162333,139.9115785,293.6644542,7019,8008,22012095,0.39161748,28992089,0.51579865,"bfs-prev","sat-loop",40
"anderson.1","dve2C",28,514,633,5.851,6.051,7,12,34,0.4,41,0.48,"chain-prev","sat-loop",5
"anderson.2","dve2C",54,1223,1481,7.697,8.094,10,18,69,0.383,88.6,0.492,"chain-prev","sat-like",1
"anderson.3","dve2C",54,1223,1481,7.697,8.094,10,18,69,0.383,88.6,0.492,"bfs-prev","none",
"anderson.4","dve2C",87,3044,3481,10.752,11.544,13,24,115,0.369,153,0.491,"bfs-prev","sat-like",5
"anderson.6","dve2C",165,10367,11532,15.722,16.856,19,36,255,0.373,354,0.518,"bfs-prev","sat-loop",10
"anderson.8","dve2C",210,16752,18442,18.022,19.207,22,42,349,0.378,490,0.531,"bfs-prev","sat-like",5
"blocks.2","dve2C",197,21922,24761,27.635,28.871,14,20,232,0.829,411,1.47,"bfs-prev","sat-loop",1
"blocks.3","dve2C",313,52821,58541,35.4465,36.7891,18,26,395,0.844,711,1.52,"chain-prev","sat-like",1
"bopdp.1","dve2C",212,21150,22959,17.743,18.889,26,79,434,0.2113,534,0.26,"chain-prev","sat-like",1
"bopdp.2","dve2C",165,12604,14221,15.113,15.709,24,79,295,0.1556,321.8,0.1697,"bfs-prev","sat-like",1
"bopdp.3","dve2C",212,21150,22959,17.743,18.889,26,79,434,0.2113,534,0.26,"chain-prev","sat-loop",10
"cambridge.1","dve2C",288,50373,56305,25.5187,27.0045,18,56,517,0.5129,729.7,0.7239,"chain-prev","sat-loop",10
"cambridge.2","dve2C",294,53191,59242,25.2487,26.7325,18,58,527,0.5048,738.6,0.7074,"chain-prev","sat-loop",10
"cambridge.3","dve2C",325,64188,71491,28.4665,30.0422,20,56,589,0.5259,855.4,0.7638,"chain-prev","sat-loop",10
"cambridge.4","dve2C",357,79121,87848,31.6009,33.3176,22,56,625,0.5073,922.5,0.7488,"chain-prev","none",
"cambridge.5","dve2C",560,193412,212137,45.2641,47.7662,32,58,1024,0.5517,1625,0.8756,"chain-prev","sat-loop",20
"cambridge.6","dve2C",732,327363,357291,59.4723,62.9381,42,56,1348,0.5731,2234,0.9498,"bfs-prev","sat-like",1
"cambridge.7","dve2C",940,545382,591974,72.31592,77.03024,52,58,1734,0.5749,2920,0.9682,"chain-prev","sat-like",20
"CircularTrain-012","pnml",46,1445,1727,9.048,9.312,24,12,98,0.34,130,0.45,"chain","sat-loop",2147483647
"CircularTrain-024","pnml",43,3039,3680,9.8393,10.019,48,24,205,0.178,235.5,0.2045,"chain","sat-like",40
"CircularTrain-048","pnml",39,6066,7574,10.2738,10.3717,96,48,423,0.0918,454.5,0.09863,"chain","sat-loop",80
"CircularTrain-096","pnml",39,12453,15318,10.2664,10.3321,192,96,855,0.046387,887.85,0.048169,"chain","sat-like",40
"CircularTrain-192","pnml",41,25175,30926,10.41741,10.46547,384,192,1726,0.02341,1757.9,0.023843,"chain","sat-like",10
"cs_repetitions-2-unfolded","pnml",96,3949,4922,14.647,15.415,23,28,233,0.362,317,0.493,"chain","sat-like",1
"cs_repetitions-3-unfolded","pnml",365,38112,43871,29.4205,31.7167,58,81,1805,0.3842,2526,0.5376,"chain-prev","sat-like",1
"cs_repetitions-4-unfolded","pnml",869,192776,216445,60.3352,64.607,117,176,8468,0.41123,11640,0.56525,"bfs-prev","sat-like",10
"cyclic_scheduler.1","dve2C",59,4359,5559,10.926,11.304,32,48,216,0.1406,247,0.1608,"chain-prev","sat-like",10
"cyclic_scheduler.2","dve2C",58,2534,3352,10.126,10.652,20,30,132,0.22,161,0.269,"chain-prev","none",
"cyclic_scheduler.3","dve2C",59,7376,9435,11.2991,11.5707,52,78,360,0.08876,394.4,0.09724,"chain-prev","sat-loop",20
"cyclic_scheduler.4","dve2C",59,4950,6393,10.971,11.319,36,54,246,0.1265,278.9,0.1435,"chain-prev","sat-loop",2147483647
"des_00_a","pnml",462,42960,48062,23.4316,24.4829,115,76,1251,0.1431,1685,0.1928,"chain","sat-like",5
"des_01_a","pnml",480,46783,52331,23.9391,24.9884,119,76,1307,0.1445,1727,0.191,"chain","sat-like",5
"des_02_a","pnml",442,49723,55707,24.51,25.498,123,80,1407,0.143,1877,0.1907,"chain","sat-like",10
"dlcsh_2_a","pnml",2627,1728643,1833071,98.558833,106.61139,188,888,32197,0.192861,45643.8,0.273408,"chain-prev","sat-loop",80
"elevator.1","dve2C",134,7924,9042,14.657,16.036,27,38,286,0.2788,359.1,0.35,"bfs-prev","sat-like",5
"elevator.2","dve2C",117,6665,7555,15.032,16.212,24,32,262,0.341,310,0.403,"chain-prev","sat-like",1
"elevator2.1","dve2C",28,622,722,5.778,6.304,11,14,33,0.214,35.1,0.228,"chain","sat-loop",1
"elevator2.2","dve2C",58,2295,2523,6.6538,7.0615,16,27,91,0.211,119,0.276,"chain-prev","sat-loop",2147483647
"elevator2.3","dve2C",71,2207,2459,5.354,5.538,20,23,136,0.296,143,0.312,"chain-prev","sat-loop",5
"elevator.3","dve2C",219,18226,19677,18.387,19.946,38,52,747,0.378,984.7,0.4983,"chain-prev","sat-loop",20
"elevator.4","dve2C",177,11823,13313,16.051,17.757,36,44,499,0.315,686.7,0.4335,"bfs-prev","sat-like",5
"firewire_link.2","dve2C",1516,1016738,1050063,32.10268,33.59509,35,412,3980,0.27601,4533.5,0.31439,"chain-prev","sat-like",5
"firewire_link.3","dve2C",1605,1002014,1032882,33.78263,35.06651,35,415,4549,0.31318,5251.5,0.36155,"chain-prev","sat-like",1
"firewire_link.5","dve2C",2382,2293821,2363165,40.17258,43.27789,50,610,8671,0.2843,10464,0.34307,"chain-prev","sat-like",1
"ht_d2k1p8b00","pnml",71,2427,2979,12.95,13.59,13,16,128,0.615,185,0.891,"chain","sat-like",2147483647
"ht_d2k2p1b00","pnml",161,18490,22840,23.8495,24.8135,52,64,784,0.2356,958.2,0.2879,"chain","sat-like",1
"iprotocol.1","dve2C",71,4805,5547,10.216,11.065,23,35,175,0.217,219,0.272,"chain-prev","sat-loop",10
"iprotocol.2","dve2C",72,5110,5905,10.244,11.068,25,35,190,0.217,245,0.28,"chain-prev","sat-like",1
"iprotocol.3","dve2C",86,5819,6696,10.293,11.073,29,35,220,0.2167,299.6,0.2952,"chain-prev","sat-like",1
"iprotocol.4","dve2C",100,6646,7587,10.335,11.078,33,35,250,0.2165,354.8,0.3072,"chain-prev","sat-loop",20
"iprotocol.5","dve2C",114,7573,8578,10.371,11.082,37,35,280,0.2162,410.6,0.3171,"chain-prev","sat-loop",20
"iprotocol.6","dve2C",114,7573,8578,10.371,11.082,37,35,280,0.2162,410.6,0.3171,"chain-prev","sat-loop",20
"iprotocol.7","dve2C",128,8600,9669,10.403,11.085,41,35,310,0.216,466.8,0.3253,"chain-prev","sat-like",10
"lamport_nonatomic.1","dve2C",531,95735,100420,18.4306,19.0578,18,147,1035,0.3912,1285,0.4855,"chain-prev","sat-like",1
"lamport_nonatomic.2","dve2C",531,95735,100420,18.4306,19.0578,18,147,1035,0.3912,1285,0.4855,"chain","sat-like",1
"lamport_nonatomic.3","dve2C",531,95735,100420,18.4306,19.0578,18,147,1035,0.3912,1285,0.4855,"chain-prev","sat-like",1
"lamport_nonatomic.4","dve2C",896,255391,265799,24.825,25.8836,24,244,2097,0.3581,2608,0.4453,"chain-prev","sat-like",1
"lamport_nonatomic.5","dve2C",1374,570577,589098,32.47222,34.33232,30,365,3606,0.32932,4448.6,0.40626,"bfs-prev","sat-like",1
"leader_filters.1","dve2C",106,5165,5973,14.993,16.622,21,30,172,0.273,264,0.418,"chain-prev","sat-like",2147483647
"leader_filters.2","dve2C",106,5165,5973,14.993,16.622,21,30,172,0.273,264,0.418,"bfs-prev","sat-like",10
"leader_filters.3","dve2C",149,8993,10153,18.176,19.881,23,40,238,0.259,360,0.391,"chain-prev","sat-loop",5
"leader_filters.5","dve2C",215,17469,19560,23.391,25.31,28,50,361,0.2579,557.6,0.3983,"chain-prev","sat-loop",20
"leader_filters.6","dve2C",215,17469,19560,23.391,25.31,28,50,361,0.2579,557.6,0.3983,"chain-prev","sat-like",5
"leader_filters.7","dve2C",262,24934,27975,27.047,29.259,30,60,468,0.26,720,0.4,"chain-prev","sat-loop",10
"mcs.1","dve2C",84,3378,3952,11.944,12.981,13,39,127,0.25,162,0.319,"chain-prev","sat-like",1
"mcs.2","dve2C",65,2467,2864,8.4068,9.3183,13,39,98,0.193,114,0.225,"chain-prev","sat-like",5
"mcs.3","dve2C",127,7663,8600,17.202,18.782,17,52,204,0.231,268,0.304,"chain-prev","sat-like",1
"mcs.4","dve2C",112,4515,5186,10.553,11.461,17,52,162,0.183,204,0.23,"chain","sat-like",1
"mcs.5","dve2C",186,13051,14846,19.898,21.691,21,65,302,0.2212,406.5,0.2978,"bfs-prev","sat-like",1
"mcs.6","dve2C",157,7164,8295,12.024,12.92,21,65,228,0.167,285.7,0.2093,"chain","sat-like",5
"PaceMaker","pnml",310,53741,59904,20.6786,22.0228,70,164,1070,0.093206,1061.1,0.092429,"chain","sat-like",1
"peg_solitaire.1","dve2C",928,449745,490084,87.4968,90.3938,18,48,864,1,1630,1.89,"bfs-prev","sat-loop",10
"peg_solitaire.4","dve2C",1705,1499259,1594867,112.8418,115.3997,27,60,1620,1,3120,1.926,"bfs-prev","sat-loop",20
"peg_solitaire.5","dve2C",7329,27341239,28329271,270.45765,273.86277,51,140,7140,1,14000,1.961,"bfs-prev","sat-loop",40
"philo_dyn-3-unfolded","pnml",528,135297,151771,64.4784,70.6351,30,84,1266,0.5024,1713,0.6799,"chain-prev","sat-like",5
"pouring.1","dve2C",6045,18192093,18921220,125.21756,174.53374,4,2018,5694,0.7054,7699,0.9538,"chain-prev","sat-like",1
"pouring.2","dve2C",5151,13326372,13509966,48.464762,61.83496,7,1724,6124,0.50746,6745.1,0.55893,"chain-prev","sat-like",1
"production_cell.2","dve2C",51,2113,2566,9.3654,9.7517,18,26,114,0.244,128,0.273,"chain-prev","sat-loop",10
"production_cell.4","dve2C",69,3577,4275,11.079,11.855,20,36,190,0.264,268,0.372,"chain-prev","sat-like",10
"protocols.2","dve2C",18,465,602,4.391,4.519,14,17,43,0.181,51.1,0.215,"chain","sat-like",5
"protocols.3","dve2C",24,713,912,5.403,5.675,16,18,56,0.194,68,0.236,"chain","sat-like",2147483647
"protocols.4","dve2C",24,713,912,5.403,5.675,16,18,56,0.194,68,0.236,"chain-prev","none",
