filename,filetype,predict-order,predict-saturation,predict-sat-granularity,actual-order,actual-saturation,actual-sat-granularity
adding.1,dve2C,chain-prev,sat-like,5,bfs-prev,sat-loop,2147483647
adding.2,dve2C,chain-prev,sat-like,5,bfs-prev,sat-loop,2147483647
adding.3,dve2C,chain-prev,sat-like,5,bfs-prev,sat-loop,2147483647
adding.4,dve2C,chain-prev,sat-like,5,bfs-prev,sat-loop,2147483647
adding.5,dve2C,chain-prev,sat-like,5,bfs-prev,sat-loop,2147483647
adding.6,dve2C,chain-prev,sat-like,5,bfs-prev,sat-loop,1
anderson.1,dve2C,chain-prev,sat-like,5,bfs-prev,sat-loop,5
anderson.2,dve2C,chain-prev,sat-like,5,chain-prev,sat-like,1
anderson.3,dve2C,chain-prev,sat-like,5,bfs-prev,none,
anderson.4,dve2C,chain-prev,sat-like,5,chain-prev,sat-like,1
anderson.6,dve2C,chain-prev,sat-like,5,bfs-prev,sat-like,1
anderson.8,dve2C,chain-prev,sat-like,5,bfs-prev,sat-like,1
at.1,dve2C,chain-prev,sat-like,5,chain-prev,sat-like,1
at.2,dve2C,chain-prev,sat-like,5,chain-prev,sat-like,1
at.3,dve2C,chain-prev,sat-like,5,chain-prev,sat-like,1
at.4,dve2C,chain-prev,sat-like,5,bfs-prev,sat-like,1
at.5,dve2C,chain-prev,sat-like,5,chain-prev,sat-like,1
at.6,dve2C,chain-prev,sat-like,5,chain-prev,sat-like,1
at.7,dve2C,chain-prev,sat-like,5,chain-prev,sat-like,1
blocks.2,dve2C,chain-prev,sat-like,5,bfs-prev,sat-loop,2147483647
blocks.3,dve2C,chain-prev,sat-like,5,bfs-prev,sat-loop,5
bopdp.1,dve2C,chain-prev,sat-like,5,chain-prev,sat-like,1
bopdp.2,dve2C,chain-prev,sat-like,5,chain-prev,sat-like,1
bopdp.3,dve2C,chain-prev,sat-like,5,chain-prev,sat-loop,20
bridge.1,dve2C,chain-prev,sat-like,5,bfs-prev,sat-loop,2147483647
bridge.2,dve2C,chain-prev,sat-like,5,bfs-prev,sat-like,2147483647
bridge.3,dve2C,chain-prev,sat-like,5,bfs-prev,sat-loop,2147483647
brp2.1,dve2C,chain-prev,sat-like,5,chain-prev,sat-like,2147483647
brp2.2,dve2C,chain-prev,sat-like,5,chain-prev,sat-loop,2147483647
brp2.3,dve2C,chain-prev,sat-like,5,chain-prev,none,
brp2.4,dve2C,chain-prev,sat-like,5,chain-prev,sat-like,2147483647
brp2.5,dve2C,chain-prev,sat-like,5,chain-prev,sat-loop,2147483647
brp2.6,dve2C,chain-prev,sat-like,5,chain-prev,none,
cambridge.1,dve2C,chain-prev,sat-like,5,chain-prev,sat-loop,10
cambridge.2,dve2C,chain-prev,sat-like,5,chain-prev,sat-loop,10
