"filename","filetype","bandwidth","profile","span","average.wavefront","RMS.wavefront","state.vector.length","groups","event.span","event.span.norm","weighted.event.span","weighted.event.span.norm","order","saturation","sat.granularity"
"adding.1","dve2C",5,103,144,3.65,3.82,5,6,12,0.4,12,0.4,"bfs-prev","sat-loop",2147483647
"adding.2","dve2C",5,103,144,3.65,3.82,5,6,12,0.4,12,0.4,"bfs-prev","sat-loop",2147483647
"adding.3","dve2C",5,103,144,3.65,3.82,5,6,12,0.4,12,0.4,"bfs-prev","sat-loop",2147483647
"adding.4","dve2C",5,103,144,3.65,3.82,5,6,12,0.4,12,0.4,"bfs-prev","sat-loop",2147483647
"adding.5","dve2C",5,103,144,3.65,3.82,5,6,12,0.4,12,0.4,"bfs-prev","sat-loop",2147483647
"adding.6","dve2C",5,103,144,3.65,3.82,5,6,12,0.4,12,0.4,"bfs-prev","sat-loop",1
"anderson.1","dve2C",28,514,633,5.851,6.051,7,12,34,0.4,41,0.48,"bfs-prev","sat-loop",5
"anderson.2","dve2C",54,1223,1481,7.697,8.094,10,18,69,0.383,88.6,0.492,"chain-prev","sat-like",1
"anderson.3","dve2C",54,1223,1481,7.697,8.094,10,18,69,0.383,88.6,0.492,"bfs-prev","none",
"anderson.4","dve2C",87,3044,3481,10.752,11.544,13,24,115,0.369,153,0.491,"chain-prev","sat-like",1
"anderson.6","dve2C",165,10367,11532,15.722,16.856,19,36,255,0.373,354,0.518,"bfs-prev","sat-like",1
"anderson.8","dve2C",210,16752,18442,18.022,19.207,22,42,349,0.378,490,0.531,"bfs-prev","sat-like",1
"at.1","dve2C",103,4713,5393,10.444,10.953,10,43,131,0.305,158,0.367,"chain-prev","sat-like",1
"at.2","dve2C",103,4713,5393,10.444,10.953,10,43,131,0.305,158,0.367,"chain-prev","sat-like",1
"at.3","dve2C",152,8773,9771,13.183,14.161,12,57,187,0.273,228,0.333,"chain-prev","sat-like",1
"at.4","dve2C",201,12098,13448,15.275,16.414,14,71,253,0.255,314,0.316,"bfs-prev","sat-like",1
"at.5","dve2C",201,12098,13448,15.275,16.414,14,71,253,0.255,314,0.316,"chain-prev","sat-like",1
"at.6","dve2C",201,12098,13448,15.275,16.414,14,71,253,0.255,314,0.316,"chain-prev","sat-like",1
"at.7","dve2C",250,16077,17771,16.697,17.841,16,85,329,0.2419,413.1,0.3038,"chain-prev","sat-like",1
"blocks.2","dve2C",197,21922,24761,27.635,28.871,14,20,232,0.829,411,1.47,"bfs-prev","sat-loop",2147483647
"blocks.3","dve2C",313,52821,58541,35.4465,36.7891,18,26,395,0.844,711,1.52,"bfs-prev","sat-loop",5
"bopdp.1","dve2C",212,21150,22959,17.743,18.889,26,79,434,0.2113,534,0.26,"chain-prev","sat-like",1
"bopdp.2","dve2C",165,12604,14221,15.113,15.709,24,79,295,0.1556,321.8,0.1697,"chain-prev","sat-like",1
"bopdp.3","dve2C",212,21150,22959,17.743,18.889,26,79,434,0.2113,534,0.26,"chain-prev","sat-loop",20
"bridge.1","dve2C",198,19141,20944,17.168,17.896,10,41,295,0.72,442,1.08,"bfs-prev","sat-loop",2147483647
"bridge.2","dve2C",298,41955,44874,19.974,20.861,12,61,513,0.701,751,1.03,"bfs-prev","sat-like",2147483647
"bridge.3","dve2C",398,76741,80805,26.8088,28.3088,14,81,771,0.6799,1105,0.9746,"bfs-prev","sat-loop",2147483647
"brp2.1","dve2C",93,4492,5434,12.151,12.587,19,33,196,0.313,250,0.399,"chain-prev","sat-like",2147483647
"brp2.2","dve2C",93,4492,5434,12.151,12.587,19,33,196,0.313,250,0.399,"chain-prev","sat-loop",2147483647
