"filename","filetype","bandwidth","profile","span","average.wavefront","RMS.wavefront","state.vector.length","groups","event.span","event.span.norm","weighted.event.span","weighted.event.span.norm","order","saturation","sat.granularity"
"2D8_gradient_10x10_10","pnml",690,416815,452605,45.01069,47.83562,100,684,6432,0.094035,7565,0.1106,"chain","sat-like",1
"2D8_gradient_10x10_50","pnml",690,416815,452605,45.01069,47.83562,100,684,6432,0.094035,7565,0.1106,"chain-prev","sat-like",1
"2D8_gradient_20x20_10","pnml",1261,3808882,4068552,87.782393,92.746572,400,2964,51732,0.0436336,54005.81,0.04555146,"chain","sat-like",5
"2D8_gradient_30x30_10","pnml",1820,13356953,14274069,136.233016,143.0314,900,6844,176486,0.02865219,187325.8,0.03041201,"chain-prev","sat-like",5
"2D8_gradient_40x40_10","pnml",2680,32948755,35614414,197.0817432,209.8546478,1600,12324,432014,0.021909181,469048.75,0.023787364,"chain-prev","sat-like",20
"2D8_gradient_5x5_10","pnml",235,36030,38877,18.1947,19.0888,25,144,714,0.1983,851.7,0.2366,"chain","sat-like",1
"2D8_gradient_5x5_100","pnml",235,36030,38877,18.1947,19.0888,25,144,714,0.1983,851.7,0.2366,"bfs-prev","sat-like",1
"2D8_gradient_5x5_150","pnml",235,36030,38877,18.1947,19.0888,25,144,714,0.1983,851.7,0.2366,"bfs-prev","sat-like",1
"2D8_gradient_5x5_200","pnml",235,36030,38877,18.1947,19.0888,25,144,714,0.1983,851.7,0.2366,"bfs-prev","sat-like",1
"2D8_gradient_5x5_50","pnml",235,36030,38877,18.1947,19.0888,25,144,714,0.1983,851.7,0.2366,"bfs-prev","sat-like",1
"AirplaneLD-pt-0010","pnml",356,34594,39554,16.9871,18.4777,89,88,2395,0.3058,3290,0.42,"chain","sat-loop",20
"AirplaneLD-pt-0020","pnml",771,139398,150528,20.0375,22.3687,159,168,9135,0.34198,12395,0.46401,"chain-prev","sat-loop",20
"AirplaneLD-pt-0050","pnml",2016,870148,906483,24.77234,29.58727,369,408,55695,0.369939,74378.3,0.494037,"chain","sat-loop",80
"AirplaneLD-pt-0100","pnml",4119,3595985,3743658,56.375625,77.466784,719,808,221275,0.380883,293463,0.505142,"chain-prev","sat-loop",20
"AirplaneLD-pt-0200","pnml",8269,14401183,14919283,98.082146,147.79136,1419,1608,882475,0.3867532,1166017,0.5110183,"chain-prev","sat-loop",40
"AirplaneLD-pt-0500","pnml",20719,90077778,93041158,222.86592,360.658969,3519,4008,5506075,0.39038682,7257968.9,0.51459803,"chain-prev","sat-loop",10
"AirplaneLD-pt-1000","pnml",41441,346679648,352162333,139.9115785,293.6644542,7019,8008,22012095,0.39161748,28992089,0.51579865,"bfs-prev","sat-loop",40
"anderson.1","dve2C",28,514,633,5.851,6.051,7,12,34,0.4,41,0.48,"bfs-prev","sat-loop",5
"anderson.2","dve2C",54,1223,1481,7.697,8.094,10,18,69,0.383,88.6,0.492,"chain-prev","sat-like",1
"anderson.3","dve2C",54,1223,1481,7.697,8.094,10,18,69,0.383,88.6,0.492,"bfs-prev","none",
"anderson.4","dve2C",87,3044,3481,10.752,11.544,13,24,115,0.369,153,0.491,"chain-prev","sat-like",1
"anderson.6","dve2C",165,10367,11532,15.722,16.856,19,36,255,0.373,354,0.518,"bfs-prev","sat-like",1
"anderson.8","dve2C",210,16752,18442,18.022,19.207,22,42,349,0.378,490,0.531,"bfs-prev","sat-like",1
"angiogenesis-01","pnml",206,14587,16457,18.274,19.476,39,64,699,0.28,923,0.3698,"chain","sat-loop",20
"angiogenesis-05","pnml",206,14587,16457,18.274,19.476,39,64,699,0.28,923,0.3698,"chain","sat-like",5
"angiogenesis-10","pnml",206,14587,16457,18.274,19.476,39,64,699,0.28,923,0.3698,"chain","sat-like",5
"angiogenesis-15","pnml",206,14587,16457,18.274,19.476,39,64,699,0.28,923,0.3698,"chain","sat-like",5
"at.1","dve2C",103,4713,5393,10.444,10.953,10,43,131,0.305,158,0.367,"chain-prev","sat-like",1
"at.2","dve2C",103,4713,5393,10.444,10.953,10,43,131,0.305,158,0.367,"chain-prev","sat-like",1
"at.3","dve2C",152,8773,9771,13.183,14.161,12,57,187,0.273,228,0.333,"chain-prev","sat-like",1
"at.4","dve2C",201,12098,13448,15.275,16.414,14,71,253,0.255,314,0.316,"bfs-prev","sat-like",1
"at.5","dve2C",201,12098,13448,15.275,16.414,14,71,253,0.255,314,0.316,"chain-prev","sat-like",1
"at.6","dve2C",201,12098,13448,15.275,16.414,14,71,253,0.255,314,0.316,"chain-prev","sat-like",1
"at.7","dve2C",250,16077,17771,16.697,17.841,16,85,329,0.2419,413.1,0.3038,"chain-prev","sat-like",1
"blocks.2","dve2C",197,21922,24761,27.635,28.871,14,20,232,0.829,411,1.47,"bfs-prev","sat-loop",2147483647
"blocks.3","dve2C",313,52821,58541,35.4465,36.7891,18,26,395,0.844,711,1.52,"bfs-prev","sat-loop",5
"bridge.1","dve2C",198,19141,20944,17.168,17.896,10,41,295,0.72,442,1.08,"bfs-prev","sat-loop",2147483647
"bridge.2","dve2C",298,41955,44874,19.974,20.861,12,61,513,0.701,751,1.03,"bfs-prev","sat-like",2147483647
"bridge.3","dve2C",398,76741,80805,26.8088,28.3088,14,81,771,0.6799,1105,0.9746,"bfs-prev","sat-loop",2147483647
"BridgeAndVehicles-V04-P05-N02-unfolded","pnml",307,35424,39027,31.2241,33.5608,28,52,712,0.489,995.1,0.6835,"chain-prev","sat-like",1
"BridgeAndVehicles-V10-P10-N10-unfolded","pnml",1882,1351587,1392332,55.17668,56.85824,48,288,6601,0.4775,9084.9,0.65718,"bfs-prev","sat-like",5
"BridgeAndVehicles-V20-P10-N10-unfolded","pnml",3622,5018385,5143012,100.73459,104.52946,68,548,15848,0.42529,21683,0.58189,"chain-prev","sat-like",5
"BridgeAndVehicles-V20-P20-N10-unfolded","pnml",3622,5018385,5143012,100.73459,104.52946,68,548,15848,0.42529,21683,0.58189,"chain-prev","sat-like",5
"brp2.1","dve2C",93,4492,5434,12.151,12.587,19,33,196,0.313,250,0.399,"chain-prev","sat-like",2147483647
"brp2.2","dve2C",93,4492,5434,12.151,12.587,19,33,196,0.313,250,0.399,"chain-prev","sat-loop",2147483647
"brp2.3","dve2C",93,4492,5434,12.151,12.587,19,33,196,0.313,250,0.399,"chain-prev","none",
"brp2.4","dve2C",93,4492,5434,12.151,12.587,19,33,196,0.313,250,0.399,"chain-prev","sat-like",2147483647
"brp2.5","dve2C",93,4492,5434,12.151,12.587,19,33,196,0.313,250,0.399,"chain-prev","sat-loop",2147483647
"brp2.6","dve2C",93,4492,5434,12.151,12.587,19,33,196,0.313,250,0.399,"chain-prev","none",
"circadian_clock-000001","pnml",32,1009,1382,8.268,8.642,14,16,66,0.295,80.3,0.358,"chain","sat-like",1
"circadian_clock-000010","pnml",32,1009,1382,8.268,8.642,14,16,66,0.295,80.3,0.358,"chain-prev","sat-like",1
"circadian_clock-000100","pnml",32,1009,1382,8.268,8.642,14,16,66,0.295,80.3,0.358,"chain","sat-loop",10
"closed_system1","pnml",366,66279,77742,23.19464,24.96889,231,202,3795,0.08133,5158.5,0.11055,"chain-prev","sat-like",5
"closed_system2","pnml",366,66279,77742,23.19464,24.96889,231,202,3795,0.08133,5158.5,0.11055,"chain-prev","sat-like",5
"closed_system3","pnml",366,66279,77742,23.19464,24.96889,231,202,3795,0.08133,5158.5,0.11055,"chain-prev","sat-like",5
"closed_system4","pnml",366,66279,77742,23.19464,24.96889,231,202,3795,0.08133,5158.5,0.11055,"chain-prev","sat-like",5
"closed_system5","pnml",366,66279,77742,23.19464,24.96889,231,202,3795,0.08133,5158.5,0.11055,"chain-prev","sat-like",10
"collision.1","dve2C",60,2716,3294,9.437,10.462,14,31,115,0.265,137,0.315,"chain-prev","sat-like",1
"collision.2","dve2C",60,2716,3294,9.437,10.462,14,31,115,0.265,137,0.315,"chain-prev","sat-like",1
"collision.3","dve2C",95,5410,6153,12.794,14.332,18,42,168,0.222,193,0.256,"chain-prev","sat-like",1
"collision.4","dve2C",134,7569,8903,15.562,17.467,22,53,226,0.1938,276.9,0.2375,"chain-prev","sat-like",1
"collision.5","dve2C",134,7569,8903,15.562,17.467,22,53,226,0.1938,276.9,0.2375,"bfs-prev","sat-like",1
"collision.6","dve2C",175,10727,12599,17.153,18.962,26,64,291,0.1749,348,0.2091,"chain-prev","sat-like",1
"cs_repetitions-2-unfolded","pnml",96,3949,4922,14.647,15.415,23,28,233,0.362,317,0.493,"chain","sat-loop",20
"cs_repetitions-3-unfolded","pnml",365,38112,43871,29.4205,31.7167,58,81,1805,0.3842,2526,0.5376,"chain","sat-like",10
"cs_repetitions-4-unfolded","pnml",869,192776,216445,60.3352,64.607,117,176,8468,0.41123,11640,0.56525,"chain","sat-like",20
"cyclic_scheduler.1","dve2C",59,4359,5559,10.926,11.304,32,48,216,0.1406,247,0.1608,"chain-prev","sat-like",10
