"type","status","status-spec","order","saturation","sat-granularity","save-sat-levels","next-union","filename","PT-places","PT-transitions","PT-arcs","PT-safeplaces","regroup-strategy","regroup-time","state_vector_length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","BDD-relProd","BDD-satCount","BDD-satCountL","BDD-relProdUnion","BDD-projectMinus"
"performance","ootime","killed","chain","sat-like","20","true","true","2D8_gradient_30x30_150.pnml","900","6844","13688","0","tg,bs,hf","1.130","900","6844","","","","","","","","","1699.41","3987904","","","","","","",
"performance","ootime","killed","bfs-prev","sat-like","20","true","true","PolyORB-LF-S02-J04-T10-unfolded.pnml","752","1572","7262","0","tg,bs,hf","1.210","752","1572","","","","","","","","","1795.93","3864048","","","","","","",
"performance","done","","chain","sat-like","20","true","true","Philosophers-100.pnml","500","500","1600","0","tg,bs,hf","0.030","500","500","1477","1477","0.310","5.15377520732011e+47","3178","3200","4402","2800","0.51","2897836",
"performance","done","","chain-prev","sat-like","20","true","true","soli1.pnml","66","76","456","0","tg,bs,hf","0.010","66","76","10528","10528","1449.300","187636299","4066413","912","912","608","1450.72","3940136",
"performance","oomem","mddtable","bfs","sat-like","20","true","true","unf-8x8-4stageSEN-20.pnml","168","592","3456","0","tg,bs,hf","0.220","168","592","","","","","","","","","1091.97","3946604","","","","","","",
"performance","done","","chain","sat-like","20","true","true","ProductionCell.pnml","176","134","513","176","tg,bs,hf","0.010","176","134","45027","45027","11.380","11329291100161","16311","718","502","1556","11.41","2909960",
"performance","done","","chain","sat-like","20","true","true","IBM319.pnml","253","178","526","0","tg,bs,hf","0.000","253","178","1535","1535","0.150","2482","1171","1008","1222","547","0.17","2893148",
"statistics","oomem","mddtable","chain","sat-like","20","true","true","unf-8x8-4stageSEN-10.pnml","168","592","3456","0","tg,bs,hf","0.640","168","592","","","","","","","","","513.81","3946604","","","","","","",
"performance","ootime","killed","bfs-prev","sat-like","20","true","true","database10UNFOLD.pnml","830","800","3800","0","tg,bs,hf","0.500","830","800","","","","","","","","","1796.92","3653120","","","","","","",
"performance","ootime","killed","chain","sat-like","20","true","true","dekker-100.pnml","500","10200","80200","0","tg,bs,hf","117.160","500","10200","","","","","","","","","1795.47","3433880","","","","","","",
