"type","status","status-spec","order","saturation","sat-granularity","save-sat-levels","next-union","filename","PT-places","PT-transitions","PT-arcs","PT-safeplaces","regroup-strategy","regroup-time","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","BDD-relProd","BDD-satCount","BDD-satCountL","BDD-relProdUnion","BDD-projectMinus",
"performance","ootime","explore","chain","sat-like","30","true","true","2D8_gradient_30x30_150.pnml","900","6844","13688","0","tg,bs,hf","1.150","900","6844","","","","","","","","","1795.06","3983740","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","30","true","true","PolyORB-LF-S02-J04-T10-unfolded.pnml","752","1572","7262","0","tg,bs,hf","1.100","752","1572","","","","","","","","","1783.30","3819448","","","","","","",
"performance","done","","chain","sat-like","30","true","true","Philosophers-100.pnml","500","500","1600","0","tg,bs,hf","0.030","500","500","1477","1477","0.310","5.15377520732011e+47","3178","3200","4402","2800","0.42","2897768",
"performance","done","","chain-prev","sat-like","30","true","true","soli1.pnml","66","76","456","0","tg,bs,hf","0.000","66","76","7944","7944","1570.170","187636299","4066413","912","912","608","1571.65","3940136",
"performance","oomem","mddtable","bfs","sat-like","30","true","true","unf-8x8-4stageSEN-20.pnml","168","592","3456","0","tg,bs,hf","0.220","168","592","","","","","","","","","1506.31","3946612","","","","","","",
"performance","done","","chain","sat-like","30","true","true","ProductionCell.pnml","176","134","513","176","tg,bs,hf","0.010","176","134","24554","24554","13.580","11329291100161","16311","718","502","1556","13.61","2907380",
"performance","done","","chain","sat-like","30","true","true","IBM319.pnml","253","178","526","0","tg,bs,hf","0.010","253","178","1841","1841","0.140","2482","1171","1008","1222","547","0.16","2893148",
"performance","oomem","mddtable","chain","sat-like","30","true","true","unf-8x8-4stageSEN-10.pnml","168","592","3456","0","tg,bs,hf","0.240","168","592","","","","","","","","","251.79","3946588","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","30","true","true","database10UNFOLD.pnml","830","800","3800","0","tg,bs,hf","0.590","830","800","","","","","","","","","1797.21","3672836","","","","","","",
"performance","ootime","explore","chain","sat-like","30","true","true","dekker-100.pnml","500","10200","80200","0","tg,bs,hf","127.510","500","10200","","","","","","","","","1794.85","3433880","","","","","","",
