"type","status","status-spec","order","saturation","sat-granularity","save-sat-levels","next-union","filename","PT-places","PT-transitions","PT-arcs","PT-safeplaces","regroup-strategy","regroup-time","state_vector_length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","BDD-relProd","BDD-satCount","BDD-satCountL","BDD-relProdUnion","BDD-projectMinus"
"performance","ootime","explore","chain","sat-like","40","true","true","2D8_gradient_30x30_150.pnml","900","6844","13688","0","tg,bs,hf","1.250","900","6844","","","","","","","","","1789.77","3989800","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","40","true","true","PolyORB-LF-S02-J04-T10-unfolded.pnml","752","1572","7262","0","tg,bs,hf","1.140","752","1572","","","","","","","","","1794.63","3909072","","","","","","",
"performance","done","","chain","sat-like","40","true","true","Philosophers-100.pnml","500","500","1600","0","tg,bs,hf","0.030","500","500","1477","1477","0.340","5.15377520732011e+47","3178","3200","4402","2800","0.47","2897816",
"performance","ootime","explore","chain-prev","sat-like","40","true","true","soli1.pnml","66","76","456","0","tg,bs,hf","0.000","66","76","","","","","","","","","1763.41","3940140","","","","","","",
"performance","oomem","mddtable","bfs","sat-like","40","true","true","unf-8x8-4stageSEN-20.pnml","168","592","3456","0","tg,bs,hf","0.210","168","592","","","","","","","","","1098.26","3946600","","","","","","",
"performance","done","","chain","sat-like","40","true","true","ProductionCell.pnml","176","134","513","176","tg,bs,hf","0.010","176","134","31546","31546","10.430","11329291100161","16311","718","502","1556","10.45","2912052",
"performance","done","","chain","sat-like","40","true","true","IBM319.pnml","253","178","526","0","tg,bs,hf","0.000","253","178","2024","2024","0.210","2482","1171","1008","1222","547","0.25","2893148",
"performance","oomem","mddtable","chain","sat-like","40","true","true","unf-8x8-4stageSEN-10.pnml","168","592","3456","0","tg,bs,hf","0.210","168","592","","","","","","","","","473.21","3946600","","","","","","",
"performance","oomem","mddtable","bfs-prev","sat-like","40","true","true","database10UNFOLD.pnml","830","800","3800","0","tg,bs,hf","0.490","830","800","","","","","","","","","1469.89","3903404","","","","","","",
"performance","ootime","explore","chain","sat-like","40","true","true","dekker-100.pnml","500","10200","80200","0","tg,bs,hf","115.300","500","10200","","","","","","","","","1795.32","3114400","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","40","true","true","2D8_gradient_10x10_150.pnml","100","684","1368","0","tg,bs,hf","0.030","100","684","","","","","","","","","1781.89","3944984","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","40","true","true","FMS-200.pnml","22","20","50","0","tg,bs,hf","0.000","22","20","","","","","","","","","1773.19","3941372","","","","","","",
"performance","ootime","explore","bfs","sat-like","40","true","true","2D8_gradient_5x5_200.pnml","25","144","288","0","tg,bs,hf","0.000","25","144","","","","","","","","","1769.56","3939156","","","","","","",
"statistics","ootime","explore","bfs","sat-like","40","true","true","2D8_gradient_5x5_250.pnml","25","144","288","0","tg,bs,hf","0.020","25","144","","","","","","","","","1774.73","3939988","","","","","","",
"performance","oomem","mddtable","chain","sat-like","40","true","true","database20UNFOLD.pnml","3260","3200","23200","0","tg,bs,hf","12.910","3260","3200","","","","","","","","","204.62","3928316","","","","","","",
"performance","ootime","explore","chain","sat-like","40","true","true","BridgeAndVehicles-V20-P20-N10-unfolded.pnml","68","548","4070","0","tg,bs,hf","0.340","68","548","","","","","","","","","1796.54","3783292","","","","","","",
"performance","ootime","explore","chain-prev","sat-like","40","true","true","shared_memory-pt-50.pnml","2651","5050","20000","0","tg,bs,hf","15.970","2651","5050","","","","","","","","","1796.92","3329304","","","","","","",
"statistics","error","boostperm","bfs-prev","sat-like","40","true","true","planning.pnml","126","128","652","0","tg,bs,hf","","","","","","","","","","","","0.05","92","","","","","","",
"performance","done","","chain","sat-like","40","true","true","raft_03.pnml","53","98","328","53","tg,bs,hf","0.000","53","98","1078","1078","0.130","33819621","1270","434","320","320","0.13","2889044",
"performance","error","boostperm","bfs-prev","sat-like","40","true","true","railroad-050-pt.pnml","518","2756","16378","0","tg,bs,hf","","","","","","","","","","","","5.71","30764","","","","","","",
