"type","status","status-spec","order","saturation","sat-granularity","save-sat-levels","next-union","filename","PT-places","PT-transitions","PT-arcs","PT-safeplaces","regroup-strategy","regroup-time","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","BDD-relProd","BDD-satCount","BDD-satCountL","BDD-relProdUnion","BDD-projectMinus",
"performance","ootime","explore","chain","sat-like","2147483647","true","true","2D8_gradient_30x30_150.pnml","900","6844","13688","0","tg,bs,hf","1.140","900","6844","","","","","","","","","1793.37","3987900","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","2147483647","true","true","PolyORB-LF-S02-J04-T10-unfolded.pnml","752","1572","7262","0","tg,bs,hf","1.150","752","1572","","","","","","","","","1796.10","3962340","","","","","","",
"performance","done","","chain","sat-like","2147483647","true","true","Philosophers-100.pnml","500","500","1600","0","tg,bs,hf","0.030","500","500","1000","1000","0.500","5.15377520732011e+47","3178","3200","4402","2800","0.62","2897984",
"performance","oomem","mddtable","chain-prev","sat-like","2147483647","true","true","soli1.pnml","66","76","456","0","tg,bs,hf","0.000","66","76","","","","","","","","","1216.24","3940140","","","","","","",
"performance","ootime","explore","bfs","sat-like","2147483647","true","true","unf-8x8-4stageSEN-20.pnml","168","592","3456","0","tg,bs,hf","0.210","168","592","","","","","","","","","1795.14","3860604","","","","","","",
"performance","done","","chain","sat-like","2147483647","true","true","ProductionCell.pnml","176","134","513","176","tg,bs,hf","0.010","176","134","9514","9514","26.440","11329291100161","16311","718","502","1556","26.47","2973572",
"performance","done","","chain","sat-like","2147483647","true","true","IBM319.pnml","253","178","526","0","tg,bs,hf","0.010","253","178","6230","6230","0.390","2482","1171","1008","1222","547","0.42","2893284",
"performance","oomem","mddtable","chain","sat-like","2147483647","true","true","unf-8x8-4stageSEN-10.pnml","168","592","3456","0","tg,bs,hf","0.210","168","592","","","","","","","","","306.97","3946580","","","","","","",
"performance","oomem","mddtable","bfs-prev","sat-like","2147483647","true","true","database10UNFOLD.pnml","830","800","3800","0","tg,bs,hf","0.560","830","800","","","","","","","","","1616.15","3953424","","","","","","",
"performance","ootime","explore","chain","sat-like","2147483647","true","true","dekker-100.pnml","500","10200","80200","0","tg,bs,hf","124.200","500","10200","","","","","","","","","1793.60","3787820","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","2147483647","true","true","2D8_gradient_10x10_150.pnml","100","684","1368","0","tg,bs,hf","0.020","100","684","","","","","","","","","1779.65","3944980","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","2147483647","true","true","FMS-200.pnml","22","20","50","0","tg,bs,hf","0.000","22","20","","","","","","","","","1774.63","3941360","","","","","","",
"performance","ootime","explore","bfs","sat-like","2147483647","true","true","2D8_gradient_5x5_200.pnml","25","144","288","0","tg,bs,hf","0.010","25","144","","","","","","","","","1795.49","3939880","","","","","","",
"statistics","ootime","explore","bfs","sat-like","2147483647","true","true","2D8_gradient_5x5_250.pnml","25","144","288","0","tg,bs,hf","0.010","25","144","","","","","","","","","1795.73","3939996","","","","","","",
"performance","oomem","mddtable","chain","sat-like","2147483647","true","true","database20UNFOLD.pnml","3260","3200","23200","0","tg,bs,hf","11.820","3260","3200","","","","","","","","","116.19","3911020","","","","","","",
"performance","ootime","explore","chain","sat-like","2147483647","true","true","BridgeAndVehicles-V20-P20-N10-unfolded.pnml","68","548","4070","0","tg,bs,hf","0.350","68","548","","","","","","","","","1792.92","3869312","","","","","","",
"performance","oomem","mddtable","chain-prev","sat-like","2147483647","true","true","shared_memory-pt-50.pnml","2651","5050","20000","0","tg,bs,hf","16.370","2651","5050","","","","","","","","","773.41","3923576","","","","","","",
"statistics","error","boostperm","bfs-prev","sat-like","2147483647","true","true","planning.pnml","126","128","652","0","tg,bs,hf","","","","","","","","","","","","0.05","92","","","","","","",
"performance","done","","chain","sat-like","2147483647","true","true","raft_03.pnml","53","98","328","53","tg,bs,hf","0.000","53","98","686","686","0.310","33819621","1270","434","320","320","0.32","2889412",
"performance","error","boostperm","bfs-prev","sat-like","2147483647","true","true","railroad-050-pt.pnml","518","2756","16378","0","tg,bs,hf","","","","","","","","","","","","5.82","33220","","","","","","",
"performance","ootime","explore","chain-prev","sat-like","2147483647","true","true","FMS-100.pnml","22","20","50","0","tg,bs,hf","0.000","22","20","","","","","","","","","1788.19","3939308","","","","","","",
"performance","ootime","explore","chain","sat-like","2147483647","true","true","CircularTrain-768.pnml","1536","768","3072","0","tg,bs,hf","0.110","1536","768","","","","","","","","","1784.82","3950996","","","","","","",
