"type","status","status-spec","order","saturation","sat-granularity","save-sat-levels","next-union","filename","PT-places","PT-transitions","PT-arcs","PT-safeplaces","regroup-strategy","regroup-time","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","max-tokens","time","memory","bandwidth","profile","span","average-wavefront","RMS-wavefront","peak-nodes","BDD-relProd","BDD-satCount","BDD-satCountL","BDD-relProdUnion","BDD-projectMinus",
"performance","ootime","noresponse","chain","sat-like","5","true","false","2D8_gradient_30x30_150.pnml","900","6844","13688","0","tg,bs,hf","1.010","900","6844","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","noresponse","bfs-prev","sat-like","5","true","false","PolyORB-LF-S02-J04-T10-unfolded.pnml","752","1572","7262","0","tg,bs,hf","1.080","752","1572","","","","","","","","","","","","","","","","","","","","","","",
"performance","done","","chain","sat-like","5","true","false","Philosophers-100.pnml","500","500","1600","0","tg,bs,hf","0.030","500","500","1979","1979","0.510","5.15377520732011e+47","3178","3200","4402","2800","1","0.64","2905748","","","","","",
"performance","ootime","noresponse","chain-prev","sat-like","5","true","false","soli1.pnml","66","76","456","0","tg,bs,hf","0.010","66","76","","","","","","","","","","","","","","","","","","","","","","",
"performance","oomem","mddtable","bfs","sat-like","5","true","false","unf-8x8-4stageSEN-20.pnml","168","592","3456","0","tg,bs,hf","0.230","168","592","","","","","","","","","","325.54","3845896","","","","","","","","","","","",
"performance","done","","chain","sat-like","5","true","false","ProductionCell.pnml","176","134","513","176","tg,bs,hf","0.010","176","134","78349","78349","14.600","11329291100161","16311","718","502","1556","1","14.63","3014984","","","","","",
"performance","done","","chain","sat-like","5","true","false","IBM319.pnml","253","178","526","0","tg,bs,hf","0.000","253","178","1298","1298","0.160","2482","1171","1008","1222","547","1","0.19","2895364","","","","","",
"performance","ootime","noresponse","chain","sat-like","5","true","false","unf-8x8-4stageSEN-10.pnml","168","592","3456","0","tg,bs,hf","0.230","168","592","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","noresponse","bfs-prev","sat-like","5","true","false","database10UNFOLD.pnml","830","800","3800","0","tg,bs,hf","0.500","830","800","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","noresponse","chain","sat-like","5","true","false","dekker-100.pnml","500","10200","80200","0","tg,bs,hf","131.480","500","10200","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","noresponse","bfs-prev","sat-like","5","true","false","2D8_gradient_10x10_150.pnml","100","684","1368","0","tg,bs,hf","0.030","100","684","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","noresponse","bfs-prev","sat-like","5","true","false","FMS-200.pnml","22","20","50","0","tg,bs,hf","0.000","22","20","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","noresponse","bfs","sat-like","5","true","false","2D8_gradient_5x5_200.pnml","25","144","288","0","tg,bs,hf","0.000","25","144","","","","","","","","","","","","","","","","","","","","","","",
"statistics","ootime","noresponse","bfs","sat-like","5","true","false","2D8_gradient_5x5_250.pnml","25","144","288","0","tg,bs,hf","0.020","25","144","","","","","","","","","","","","235","36030","38877","18.1947","19.0888","","","","","","",
"performance","ootime","noresponse","chain","sat-like","5","true","false","database20UNFOLD.pnml","3260","3200","23200","0","tg,bs,hf","11.870","3260","3200","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","noresponse","chain","sat-like","5","true","false","BridgeAndVehicles-V20-P20-N10-unfolded.pnml","68","548","4070","0","tg,bs,hf","0.310","68","548","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","noresponse","chain-prev","sat-like","5","true","false","shared_memory-pt-50.pnml","2651","5050","20000","0","tg,bs,hf","15.700","2651","5050","","","","","","","","","","","","","","","","","","","","","","",
"statistics","error","boostperm","bfs-prev","sat-like","5","true","false","planning.pnml","126","128","652","0","tg,bs,hf","","","","","","","","","","","","","0.06","4700","597","60031","70297","31.7942","34.2437","","","","","","",
"performance","done","","chain","sat-like","5","true","false","raft_03.pnml","53","98","328","53","tg,bs,hf","0.000","53","98","4672","4672","0.190","33819621","1270","434","320","320","1","0.20","2893596","","","","","",
"performance","error","boostperm","bfs-prev","sat-like","5","true","false","railroad-050-pt.pnml","518","2756","16378","0","tg,bs,hf","","","","","","","","","","","","","5.36","36496","","","","","","","","","","","",
"performance","done","","chain-prev","sat-like","5","true","false","FMS-100.pnml","22","20","50","0","tg,bs,hf","0.000","22","20","3387","3387","44.940","2.70305727248432e+21","264627","86555","84885","765863","100","45.03","3274172","","","","","",
"performance","ootime","noresponse","chain","sat-like","5","true","false","CircularTrain-768.pnml","1536","768","3072","0","tg,bs,hf","0.110","1536","768","","","","","","","","","","","","","","","","","","","","","","",
"performance","done","","bfs","sat-like","5","true","false","angiogenesis-05.pnml","39","64","185","0","tg,bs,hf","0.000","39","64","2082","2082","1.580","42734935","11992","2999","2744","4011","5","1.60","2910080","","","","","",
"performance","done","","bfs","sat-like","5","true","false","FMS-2.pnml","22","20","50","0","tg,bs,hf","0.000","22","20","198","198","0.000","3444","123","205","203","140","3","0.01","2833844","","","","","",
"performance","ootime","noresponse","bfs","sat-like","5","true","false","Peterson-4.pnml","480","690","2120","0","tg,bs,hf","0.090","480","690","","","","","","","","","","","","","","","","","","","","","","",
"performance","done","","bfs-prev","sat-like","5","true","false","ring.pnml","139","87","410","0","tg,bs,hf","0.000","139","87","9039","9039","3.460","902651904000","4834","772","1081","751","1","3.49","2930780","","","","","",
"performance","ootime","noresponse","bfs","sat-like","5","true","false","shared_memory-pt-100.pnml","10301","20100","80000","0","tg,bs,hf","","","","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","noresponse","bfs-prev","sat-like","5","true","false","BridgeAndVehicles-V20-P20-N50-unfolded.pnml","108","2228","17190","0","tg,bs,hf","5.980","108","2228","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","noresponse","chain","sat-like","5","true","false","Peterson-4.pnml","480","690","2120","0","tg,bs,hf","0.100","480","690","","","","","","","","","","","","","","","","","","","","","","",
"statistics","oomem","regroup","bfs-prev","sat-like","5","true","false","shared_memory-pt-200.pnml","40601","80200","320000","0","","","","","","","","","","","","","20.89","4635844","","","","","","","","","","","",
"performance","ootime","noresponse","bfs","sat-like","5","true","false","echo-d2r9.pnml","735","570","3220","0","tg,bs,hf","0.100","735","570","","","","","","","","","","","","","","","","","","","","","","",
"performance","done","","chain-prev","sat-like","5","true","false","IBM703.pnml","262","284","572","0","tg,bs,hf","0.010","262","284","2612","2612","0.310","8370","1192","1144","1432","860","1","0.36","2895720","","","","","",
"performance","ootime","noresponse","chain","sat-like","5","true","false","soli0_counter_square5.pnml","51","84","540","0","tg,bs,hf","0.000","51","84","","","","","","","","","","","","","","","","","","","","","","",
"performance","done","","bfs-prev","sat-like","5","true","false","rwmutex-r10w500.pnml","1030","1020","12060","0","tg,bs,hf","3.820","1030","1020","58770","58770","77.070","1524","229089","24120","34068","1025060","1","81.74","2934484","","","","","",
"performance","done","","chain","sat-like","5","true","false","HouseConstruction-020.pnml","26","18","51","0","tg,bs,hf","0.000","26","18","712","712","23.750","13665907559010","428701","12680","10241","98098","20","23.87","3100028","","","","","",
