"type","status","status-spec","order","saturation","sat-granularity","filename","filetype","regroup-strategy","regroup-time","bandwidth","profile","span","average-wavefront","RMS-wavefront","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","LDDop-union","LDDop-minus","LDDop-relProd","LDDop-satCount","LDDop-satCountL","LDDop-zip","LDDop-relProdUnion","LDDop-projectMinus",
"performance","ootime","explore","chain","sat-like","2147483647","2D8_gradient_30x30_150","pnml","tg,bs,hf","1.020","","","","","","900","6844","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","2147483647","PolyORB-LF-S02-J04-T10-unfolded","pnml","tg,bs,hf","1.070","","","","","","752","1572","","","","","","","","","","","","","","","","","","",
"performance","done","","chain","sat-like","2147483647","Philosophers-100","pnml","tg,bs,hf","0.030","","","","","","500","500","1000","1000","0.870","5.15377520732011e+47","3178","3200","4402","2800","1.00","2911892","","","","","","","","",
"performance","ootime","explore","chain-prev","sat-like","2147483647","soli1","pnml","tg,bs,hf","0.010","","","","","","66","76","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","bfs","sat-like","2147483647","unf-8x8-4stageSEN-20","pnml","tg,bs,hf","0.230","","","","","","168","592","","","","","","","","","","","","","","","","","","",
"performance","done","","chain","sat-like","2147483647","ProductionCell","pnml","tg,bs,hf","0.010","","","","","","176","134","9514","9514","33.820","11329291100161","16311","718","502","1556","33.85","3184996","","","","","","","","",
"performance","done","","chain","sat-like","2147483647","IBM319","pnml","tg,bs,hf","0.010","","","","","","253","178","6230","6230","0.520","2482","1171","1008","1222","547","0.55","2895364","","","","","","","","",
"performance","oomem","mddtable","chain","sat-like","2147483647","unf-8x8-4stageSEN-10","pnml","tg,bs,hf","0.230","","","","","","168","592","","","","","","","","","245.35","3850936","","","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","2147483647","database10UNFOLD","pnml","tg,bs,hf","0.530","","","","","","830","800","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","chain","sat-like","2147483647","dekker-100","pnml","tg,bs,hf","119.130","","","","","","500","10200","","","","","","","","","","","","","","","","","","",
