"type","status","status-spec","order","saturation","sat-granularity","filename","filetype","regroup-strategy","regroup-time","bandwidth","profile","span","average-wavefront","RMS-wavefront","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","LDDop-union","LDDop-minus","LDDop-relProd","LDDop-satCount","LDDop-satCountL","LDDop-zip","LDDop-relProdUnion","LDDop-projectMinus",
"performance","error","boostperm","bfs-prev","sat-loop","5","bakery.8","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","92","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","5","pgm_protocol.2","dve2C","tg,bs,hf","0.010","","","","","","122","120","37232","37232","2.840","17096","40453","4156","14014","21003","2.88","2901912","","","","","","","","",
"performance","error","boostperm","chain-prev","sat-loop","5","bakery.3","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","92","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","5","lann.1","dve2C","tg,bs,hf","0.000","","","","","","15","27","3024","3024","0.190","18424","2461","178","426","693","0.20","2894952","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","5","lifts.1","dve2C","tg,bs,hf","0.000","","","","","","22","135","7327","7327","0.240","2661","3570","918","11234","15918","0.26","2893296","","","","","","","","",
"performance","error","boostperm","chain-prev","sat-loop","5","frogs.2","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","92","","","","","","","","",
"performance","error","boostperm","chain","sat-loop","5","plc.2","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.02","4932","","","","","","","","",
"performance","ootime","explore","chain-prev","sat-loop","5","lann.8","dve2C","tg,bs,hf","0.000","","","","","","25","50","","","","","","","","","","","","","","","","","","",
"statistics","done","","chain","sat-loop","5","synapse.5","dve2C","tg,bs,hf","0.080","902","277569","295622","36.0086","37.3091","28","167","13203","13203","4.410","83263","20695","1154","14993","41330","4.70","2899752","1677908","9033001","280678","994","","","8944555",
"performance","done","","chain","sat-loop","5","leader_filters.2","dve2C","tg,bs,hf","0.000","","","","","","21","30","1304","1304","0.300","29284","3114","688","1388","3112","0.30","2892924","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","5","at.2","dve2C","tg,bs,hf","0.000","","","","","","10","43","3817","3817","0.240","49443","2858","214","720","1177","0.25","2894996","","","","","","","","",
"performance","error","boostperm","chain-prev","sat-loop","5","brp.4","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","92","","","","","","","","",
"performance","done","","bfs","sat-loop","5","cambridge.2","dve2C","tg,bs,hf","0.000","","","","","","18","58","4234","4234","0.480","15940","3370","3230","4448","15848","0.49","2895000","","","","","","","","",
"performance","error","boostperm","bfs-prev","sat-loop","5","plc.2","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.02","4936","","","","","","","","",
"performance","done","","chain","sat-loop","5","phils.6","dve2C","tg,bs,hf","0.000","","","","","","30","60","1392","1392","0.050","14348906","245","210","321","300","0.06","2893088","","","","","","","","",
"performance","done","","bfs","sat-loop","5","lup.2","dve2C","tg,bs,hf","0.000","","","","","","10","96","18426","18426","9.400","495720","4017","6731","193536","23796864","9.41","2932000","","","","","","","","",
"performance","done","","chain","sat-loop","5","lifts.3","dve2C","tg,bs,hf","0.010","","","","","","29","201","17470","17470","6.660","30772","22676","2824","31204","55466","6.69","2876240","","","","","","","","",
"performance","done","","chain","sat-loop","5","pgm_protocol.4","dve2C","tg,bs,hf","0.010","","","","","","122","120","39011","39011","12.120","39832","58129","4941","17699","36106","12.17","2908008","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","5","sokoban.1","dve2C","tg,bs,hf","0.000","","","","","","68","9","1107","1107","7.840","91453","4406","26077","35263","731641","7.85","3001448","","","","","","","","",
"performance","error","boostperm","bfs-prev","sat-loop","5","elevator_planning.1","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","92","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","5","mcs.1","dve2C","tg,bs,hf","0.000","","","","","","13","39","3183","3183","0.110","7963","964","207","620","918","0.11","2892884","","","","","","","","",
"performance","error","boostperm","chain","sat-loop","5","frogs.4","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","88","","","","","","","","",
"performance","done","","chain-prev","sat-loop","5","sorter.4","dve2C","tg,bs,hf","0.000","","","","","","26","58","38083","38083","32.170","13184427","29626","1262","2944","17685","32.18","3210508","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","5","synapse.7","dve2C","tg,bs,hf","0.030","","","","","","28","221","26311","26311","45.000","10198141","122405","2276","16980","75383","45.07","3067764","","","","","","","","",
"performance","error","boostperm","bfs","sat-loop","5","frogs.5","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","92","","","","","","","","",
"performance","error","boostperm","chain","sat-loop","5","frogs.1","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","92","","","","","","","","",
"statistics","error","boostperm","chain-prev","sat-loop","5","production_cell.1","dve2C","tg,bs,hf","","118","3050","3528","10.336","10.949","","","","","","","","","","","0.01","88","","","","","","","","",
"statistics","error","boostperm","chain-prev","sat-loop","5","telephony.2","dve2C","tg,bs,hf","","243","23767","25708","15.323","16.256","","","","","","","","","","","0.01","3468","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","5","iprotocol.6","dve2C","tg,bs,hf","0.010","","","","","","37","35","17389","17389","32.130","41387484","95004","4223","12799","54651","32.17","3181796","","","","","","","","",
"performance","done","","chain","sat-loop","5","lamport_nonatomic.2","dve2C","tg,bs,hf","0.000","","","","","","18","147","3046","3046","0.120","12958","546","497","3210","5744","0.15","2893220","","","","","","","","",
"performance","done","","chain","sat-loop","5","synapse.6","dve2C","tg,bs,hf","0.020","","","","","","28","194","15523","15523","10.060","625175","32661","1521","13919","38857","10.09","2916008","","","","","","","","",
"performance","error","boostperm","chain","sat-loop","5","bakery.4","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","92","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","5","iprotocol.6","dve2C","tg,bs,hf","0.000","","","","","","37","35","17389","17389","31.020","41387484","95004","4223","12799","54651","31.05","3181820","","","","","","","","",
"performance","ootime","explore","bfs","sat-loop","5","adding.4","dve2C","tg,bs,hf","0.000","","","","","","5","6","","","","","","","","","","","","","","","","","","",
"performance","done","","bfs","sat-loop","5","mcs.3","dve2C","tg,bs,hf","0.000","","","","","","17","52","8165","8165","7.330","571459","19764","360","879","1606","7.35","2933960","","","","","","","","",
