"type","status","status-spec","order","saturation","sat-granularity","filename","filetype","regroup-strategy","regroup-time","bandwidth","profile","span","average-wavefront","RMS-wavefront","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","LDDop-union","LDDop-minus","LDDop-relProd","LDDop-satCount","LDDop-satCountL","LDDop-zip","LDDop-relProdUnion","LDDop-projectMinus",
"performance","error","boostperm","bfs-prev","none","","bakery.8","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","92","","","","","","","","",
"performance","done","","bfs-prev","none","","pgm_protocol.2","dve2C","tg,bs,hf","0.020","","","","","","122","120","44040","44040","8.100","17096","40453","4156","14014","21003","8.15","2914416","","","","","","","","",
"performance","error","boostperm","chain-prev","none","","bakery.3","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","88","","","","","","","","",
"performance","done","","bfs-prev","none","","lann.1","dve2C","tg,bs,hf","0.000","","","","","","15","27","2970","2970","0.220","18424","2461","178","426","693","0.22","2892900","","","","","","","","",
"performance","done","","bfs-prev","none","","lifts.1","dve2C","tg,bs,hf","0.000","","","","","","22","135","7830","7830","0.260","2661","3570","918","11234","15918","0.26","2893288","","","","","","","","",
"performance","error","boostperm","chain-prev","none","","frogs.2","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","92","","","","","","","","",
"performance","error","boostperm","chain","none","","plc.2","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.02","5172","","","","","","","","",
"performance","ootime","explore","chain-prev","none","","lann.8","dve2C","tg,bs,hf","0.000","","","","","","25","50","","","","","","","","","","","","","","","","","","",
"statistics","done","","chain","none","","synapse.5","dve2C","tg,bs,hf","0.070","902","277569","295622","36.0086","37.3091","28","167","5511","5511","3.590","83263","20695","1154","14993","41330","3.84","2901716","1226331","7342876","151059","994","","","7280205",
"performance","done","","chain","none","","leader_filters.2","dve2C","tg,bs,hf","0.000","","","","","","21","30","690","690","0.320","29284","3114","688","1388","3112","0.33","2894968","","","","","","","","",
"performance","done","","bfs-prev","none","","at.2","dve2C","tg,bs,hf","0.000","","","","","","10","43","2064","2064","0.260","49443","2858","214","720","1177","0.27","2894992","","","","","","","","",
"performance","error","boostperm","chain-prev","none","","brp.4","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","92","","","","","","","","",
"performance","done","","bfs","none","","cambridge.2","dve2C","tg,bs,hf","0.000","","","","","","18","58","4002","4002","0.660","15940","3370","3230","4448","15848","0.67","2897072","","","","","","","","",
"performance","error","boostperm","bfs-prev","none","","plc.2","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.02","4936","","","","","","","","",
"performance","done","","chain","none","","phils.6","dve2C","tg,bs,hf","0.000","","","","","","30","60","1080","1080","0.080","14348906","245","210","321","300","0.09","2893096","","","","","","","","",
"performance","done","","bfs","none","","lup.2","dve2C","tg,bs,hf","0.000","","","","","","10","96","9216","9216","7.640","495720","4017","6731","193536","23796864","7.66","2915612","","","","","","","","",
"performance","done","","chain","none","","lifts.3","dve2C","tg,bs,hf","0.010","","","","","","29","201","11256","11256","4.080","30772","22676","2824","31204","55466","4.10","2899732","","","","","","","","",
"performance","done","","chain","none","","pgm_protocol.4","dve2C","tg,bs,hf","0.010","","","","","","122","120","26520","26520","13.770","39832","58129","4941","17699","36106","13.81","2908048","","","","","","","","",
"performance","done","","bfs-prev","none","","sokoban.1","dve2C","tg,bs,hf","0.000","","","","","","68","9","1107","1107","6.970","91453","4406","26077","35263","731641","6.99","3003472","","","","","","","","",
"performance","error","boostperm","bfs-prev","none","","elevator_planning.1","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","92","","","","","","","","",
"performance","done","","bfs-prev","none","","mcs.1","dve2C","tg,bs,hf","0.010","","","","","","13","39","1911","1911","0.120","7963","964","207","620","918","0.13","2892912","","","","","","","","",
"performance","error","boostperm","chain","none","","frogs.4","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","92","","","","","","","","",
