"filename","filetype","event-span","event-span-norm","weigthed-event-span","weighted-event-span-norm",
"dnawalk-15","pnml","2657","0.25806","3353.6","0.32572",
"SmallOperatingSystem-MT0256DC0128","pnml","","","","",
"SmallOperatingSystem-MT0032DC0016","pnml","34","0.47","43","0.6",
"dnawalk-16","pnml","","","","",
"afcs_96_a","pnml","","","","",
"trg_5-02-0","pnml","","","","",
"des_50_b","pnml","","","","",
"G-PPP-1-10","pnml","183","0.252","224","0.308",
"dnawalk-13","pnml","2334","0.22669","2872.2","0.27897",
"tcp15","pnml","","","","",
"trg_4-02-2","pnml","","","","",
"dlcsh_6_b","pnml","187130616","0.06349716361","212437239.5","0.07208420749",
"des_50_a","pnml","","","","",
"dlcsh_4_a","pnml","2215357","0.2506142","3634530","0.4111594",
"dnawalk-02","pnml","392","0.3333","469.3","0.3991",
"AirplaneLD-pt-1000","pnml","22012095","0.39161748","28992089","0.51579865",
"SmallOperatingSystem-MT1024DC0256","pnml","","","","",
"dnawalk-05","pnml","1553","0.1827","1879","0.2211",
"des_60_b","pnml","","","","",
"trg_2-01-1","pnml","360","0.1648","425.3","0.1947",
"ht_d2k3p2b04","pnml","2754","0.16346","3408","0.20228",
"dnawalk-08","pnml","1874","0.267","2216","0.3156",
"dnawalk-09","pnml","1832","0.261","2158","0.3074",
"ht_d4k3p2b08","pnml","1029413","0.098061747","1176300.7","0.11205425",
"dlcsh_2_a","pnml","","","","",
"AirplaneLD-pt-0010","pnml","2395","0.3058","3290","0.42",
"afcs_05_b","pnml","","","","",
"des_20_b","pnml","","","","",
"SmallOperatingSystem-MT0512DC0128","pnml","","","","",
"tcp20","pnml","","","","",
"dnawalk-14","pnml","2428","0.23582","2883","0.28001",
"deploy_4_a","pnml","17679","0.26396","22160","0.33087",
"SmallOperatingSystem-MT0512DC0256","pnml","","","","",
"deploy_2_a","pnml","2804","0.23355","3627.5","0.30214",
"SmallOperatingSystem-MT4096DC1024","pnml","","","","",
"AirplaneLD-pt-4000","pnml","352048095","0.392546246","463396905","0.516704161",
"deploy_7_b","pnml","","","","",
"dlcsh_3_a","pnml","311754","0.1850427","446276.2","0.2648888",
"AirplaneLD-pt-0050","pnml","55695","0.369939","74378.3","0.494037",
"tcp50","pnml","","","","",
"afcs_12_b","pnml","","","","",
"trg_5-04-6","pnml","","","","",
"SmallOperatingSystem-MT2048DC1024","pnml","","","","",
"des_30_a","pnml","","","","",
"tcp10","pnml","343","0.357","489","0.51",
"G-PPP-100-10","pnml","183","0.252","224","0.308",
"G-PPP-10-100","pnml","183","0.252","224","0.308",
"G-PPP-1-10000","pnml","","","","",
"deploy_4_b","pnml","","","","",
"des_30_b","pnml","","","","",
"tcp35","pnml","","","","",
"afcs_48_a","pnml","","","","",
"SmallOperatingSystem-MT0032DC0008","pnml","34","0.47","43","0.6",
"dnawalk-06","pnml","1592","0.1873","1945","0.2288",
"dnawalk-11","pnml","1942","0.2766","2343","0.3338",
"des_60_a","pnml","","","","",
"SmallOperatingSystem-MT1024DC0512","pnml","","","","",
"dnawalk-18","pnml","","","","",
"G-PPP-10-1000000000","pnml","","","","",
"des_05_b","pnml","","","","",
"G-PPP-1-1","pnml","183","0.252","224","0.308",
"G-PPP-100-10000","pnml","","","","",
"trg_3-01-1","pnml","858","0.08827","968.2","0.09961",
"G-PPP-1-1000","pnml","","","","",
"dlcsh_2_b","pnml","","","","",
"des_01_b","pnml","3745","0.056113","4462.8","0.066868",
"dnawalk-07","pnml","1759","0.2069","2246","0.2642",
"dlcsh_4_b","pnml","18000426","0.0561749482","21023202.3","0.0656082973",
"AirplaneLD-pt-0500","pnml","5506075","0.39038682","7257968.9","0.51459803",
"afcs_03_b","pnml","","","","",
"ht_d2k1p8b00","pnml","128","0.615","185","0.891",
"dlcsh_6_a","pnml","18569641","0.20066686","28012507","0.30270816",
"afcs_05_a","pnml","2874","0.16748","4001.6","0.2332",
"afcs_06_b","pnml","","","","",
"AirplaneLD-pt-0100","pnml","221275","0.380883","293463","0.505142",
"des_02_b","pnml","3884","0.056427","4668","0.067817",
"afcs_02_b","pnml","2393","0.056944","2516.2","0.059875",
"G-PPP-1000-100","pnml","","","","",
"G-PPP-100-1000","pnml","","","","",
"afcs_24_b","pnml","","","","",
"deploy_6_b","pnml","","","","",
"G-PPP-1000-10","pnml","183","0.252","224","0.308",
"dlcsh_5_b","pnml","65262012","0.0603305364","75492175.97","0.06978766561",
"des_10_a","pnml","","","","",
"G-PPP-1-100","pnml","183","0.252","224","0.308",
"G-PPP-1000-1000","pnml","","","","",
"trg_1-20-0","pnml","96","0.5","137","0.715",
"AirplaneLD-pt-2000","pnml","88024095","0.392236005","115888932","0.516401922",
"dnawalk-10","pnml","2079","0.2962","2664","0.3795",
"SmallOperatingSystem-MT0256DC0064","pnml","","","","",
"tcp30","pnml","343","0.357","489","0.51",
"des_05_a","pnml","1635","0.13164","2160.1","0.17392",
"dlcsh_3_b","pnml","","","","",
"SmallOperatingSystem-MT8192DC4096","pnml","","","","",
"ht_d5k3p2b10","pnml","15859164","0.0866375274","17595947","0.0961254539",
"SmallOperatingSystem-MT0128DC0032","pnml","34","0.47","43","0.6",
"afcs_02_a","pnml","525","0.1675","654.2","0.2087",
"dlcsh_5_a","pnml","8026676","0.24975554","13285106","0.4133752",
"G-PPP-100-100","pnml","","","","",
"des_10_b","pnml","","","","",
"G-PPP-1-100000","pnml","","","","",
"PaceMaker","pnml","1070","0.093206","1061.1","0.092429",
"trg_1-50-0","pnml","96","0.5","137","0.715",
"SmallOperatingSystem-MT0128DC0064","pnml","34","0.47","43","0.6",
"deploy_5_b","pnml","","","","",
"afcs_24_a","pnml","45194","0.123066","60641.6","0.16513",
"des_40_b","pnml","","","","",
"afcs_01_b","pnml","889","0.069627","1057.9","0.082854",
"afcs_04_b","pnml","","","","",
"des_00_a","pnml","1251","0.1431","1685","0.1928",
"dnawalk-01","pnml","354","0.3321","435.4","0.4084",
"deploy_3_b","pnml","","","","",
"afcs_01_a","pnml","232","0.242","303","0.316",
"ht_d3k3p2b06","pnml","55634","0.111572","66348.6","0.13306",
"SmallOperatingSystem-MT8192DC2048","pnml","","","","",
"SmallOperatingSystem-MT4096DC2048","pnml","","","","",
"dnawalk-03","pnml","387","0.3291","492.4","0.4187",
"SmallOperatingSystem-MT0064DC0032","pnml","34","0.47","43","0.6",
"afcs_96_b","pnml","1915478","0.030840094","2284055.8","0.03677437",
"G-PPP-10-10","pnml","183","0.252","224","0.308",
"deploy_3_a","pnml","7951","0.24822","10426","0.32549",
"AirplaneLD-pt-0200","pnml","882475","0.3867532","1166017","0.5110183",
"des_20_a","pnml","","","","",
"ht_d2k2p1b00","pnml","784","0.2356","958.2","0.2879",
"dnawalk-17","pnml","","","","",
"trg_3-02-6","pnml","858","0.08827","968.2","0.09961",
"tcp40","pnml","343","0.357","489","0.51",
"afcs_04_a","pnml","1770","0.15754","2367.4","0.21072",
"afcs_12_a","pnml","","","","",
"des_00_b","pnml","","","","",
"tcp25","pnml","","","","",
"G-PPP-100-100000","pnml","","","","",
"des_02_a","pnml","1407","0.143","1877","0.1907",
"deploy_5_a","pnml","32411","0.266757","41833.8","0.344311",
"afcs_03_a","pnml","1212","0.1848","1679","0.256",
"deploy_6_a","pnml","56743","0.282771","72488.2","0.361235",
"afcs_48_b","pnml","490012","0.031517701","599407.8","0.038554068",
"SmallOperatingSystem-MT0064DC0016","pnml","34","0.47","43","0.6",
"AirplaneLD-pt-0020","pnml","9135","0.34198","12395","0.46401",
"des_40_a","pnml","","","","",
"SmallOperatingSystem-MT2048DC0512","pnml","","","","",
"tcp5","pnml","343","0.357","489","0.51",
"dnawalk-04","pnml","1565","0.1841","1889","0.2222",
"deploy_7_a","pnml","86284","0.278393","108736","0.350832",
"afcs_06_a","pnml","3506","0.14407","4662.1","0.19158",
"dnawalk-12","pnml","2332","0.2265","2688.9","0.26116",
"SmallOperatingSystem-MT0016DC0008","pnml","34","0.47","43","0.6",
"deploy_2_b","pnml","","","","",
"des_01_a","pnml","1307","0.1445","1727","0.191",
