"filename","filetype","event-span","event-span-norm","weighted-event-span","weighted-event-span-norm",
"database4UNFOLD","pnml","3696","0.20625","5030.1","0.2807",
"BridgeAndVehicles-V20-P20-N20-unfolded","pnml","","","","",
"erk-000010","pnml","39","0.322","45.8","0.379",
"SafeBus-06-unfolded","pnml","","","","",
"2D8_gradient_10x10_150","pnml","","","","",
"eratosthenes-500","pnml","","","","",
"PolyORB-LF-S04-J06-T10-unfolded","pnml","","","","",
"closed_system3","pnml","3795","0.08133","5158.5","0.11055",
"MAPK-320","pnml","","","","",
"Kanban-1000","pnml","","","","",
"lamport_fmea-8","pnml","","","","",
"TokenRing-40-unfolded","pnml","","","","",
"neoelection-7.unf","pnml","","","","",
"database4UNFOLD","pnml","","","","",
"Philosophers-2000","pnml","","","","",
"SafeBus-10-unfolded","pnml","","","","",
"IOTP_c1m1p1d1","pnml","602","0.1205","790.6","0.1583",
"Peterson-6","pnml","","","","",
"SwimmingPool-10","pnml","","","","",
"FMS-2","pnml","70","0.159","75.7","0.172",
"QCertifProtocol_32-unfold","pnml","413859","0.2148984","500162.3","0.2597118",
"RAS-C-5","pnml","140","0.233","163","0.271",
"RAS-R-10","pnml","127","0.144","142","0.161",
"FMS-200","pnml","","","","",
"unf-8x8-4stageSEN-05","pnml","","","","",
"soli0_square5","pnml","1192","0.2838","1540","0.3666",
"raft_02","pnml","452","0.3104","603.1","0.4142",
"BridgeAndVehicles-V50-P20-N20-unfolded","pnml","","","","",
"BridgeAndVehicles-V80-P20-N20-unfolded","pnml","","","","",
"parking_8_32","pnml","","","","",
"PolyORB-LF-S02-J06-T06-unfolded","pnml","","","","",
"Philosophers-50","pnml","1878","0.030048","1923","0.030768",
"sg-2-1-2","pnml","795","0.1624","942.2","0.1925",
"angiogenesis-20","pnml","","","","",
"circadian_clock-000001","pnml","66","0.295","80.3","0.358",
"erk-000010","pnml","39","0.322","45.8","0.379",
"HouseConstruction-200","pnml","","","","",
"dekker-10","pnml","3083","0.5138","4626","0.7709",
"parking_8_32","pnml","57828","0.0790172","75772.1","0.103536",
"HouseConstruction-020","pnml","85","0.182","99.4","0.212",
"RAS-C-10","pnml","300","0.125","324.3","0.1351",
"2D8_gradient_20x20_150","pnml","","","","",
"TokenRing-15-unfolded","pnml","118719","0.128248","124174","0.134141",
"Kanban-10","pnml","53","0.207","63.4","0.248",
"soli0_square5","pnml","1192","0.2838","1540","0.3666",
"TokenRing-15-unfolded","pnml","118719","0.128248","124174","0.134141",
"2D8_gradient_40x40_10","pnml","","","","",
"SwimmingPool-3","pnml","31","0.49","41","0.65",
"lamport_fmea-7","pnml","","","","",
"cs_repetitions-5-unfolded","pnml","","","","",
"QCertifProtocol_32-unfold","pnml","413859","0.2148984","500162.3","0.2597118",
"unf-8x8-4stageSEN-01","pnml","35380","0.35574","44988","0.45234",
"Kanban-10","pnml","53","0.207","63.4","0.248",
"Peterson-7","pnml","","","","",
"Kanban-500","pnml","","","","",
"FMS-10","pnml","70","0.159","75.7","0.172",
"SwimmingPool-10","pnml","","","","",
"echo-d3r5","pnml","","","","",
"2D8_gradient_10x10_50","pnml","","","","",
"RAS-R-20","pnml","257","0.07649","272.3","0.08104",
"unf-8x8-4stageSEN-50","pnml","","","","",
"Philosophers-5000","pnml","189979","0.0003039664","190024.825","0.00030403972",
"database20UNFOLD","pnml","","","","",
"UtahNoC","pnml","","","","",
"rwmutex-r2000w10","pnml","132224","0.0054637113","251692.31","0.010400337",
"Peterson-5","pnml","","","","",
"eratosthenes-100","pnml","","","","",
"eratosthenes-200","pnml","","","","",
"HouseConstruction-500","pnml","","","","",
"SwimmingPool-2","pnml","31","0.49","41","0.65",
"parking_4_16","pnml","9677","0.0732745","11574.3","0.0876413",
"Philosophers-10","pnml","360","0.144","400.2","0.1601",
"unf-8x8-4stageSEN-50","pnml","","","","",
"closed_system5","pnml","3795","0.08133","5158.5","0.11055",
"Kanban-1000","pnml","","","","",
"QCertifProtocol_28-unfold","pnml","284559","0.2128168","336568.7","0.2517139",
"5-100_phaseVariation","pnml","","","","",
"BridgeAndVehicles-V50-P20-N50-unfolded","pnml","","","","",
"Peterson-3","pnml","13622","0.16816","16731","0.20653",
"soli1_counter","pnml","","","","",
"MAPK-80","pnml","","","","",
"ring","pnml","1743","0.14413","2225.3","0.18401",
"SwimmingPool-8","pnml","31","0.49","41","0.65",
"20-100_phaseVariation","pnml","","","","",
"soli2","pnml","1920","0.282","2401","0.3526",
"HouseConstruction-050","pnml","","","","",
"FMS-500","pnml","","","","",
"hc5k3p3b15","pnml","14613257","0.0635823898","15193867.8","0.0661086318",
"FMS-5","pnml","70","0.159","75.7","0.172",
"galloc_res-5","pnml","","","","",
"rwmutex-r10w2000","pnml","","","","",
"angiogenesis-15","pnml","","","","",
"rwmutex-r2000w10","pnml","","","","",
"Peterson-3","pnml","13622","0.16816","16731","0.20653",
"PolyORB-NT-S10-J30-unfolded","pnml","","","","",
"parking_8_32","pnml","57828","0.0790172","75772.1","0.103536",
"HouseConstruction-500","pnml","","","","",
"RAS-R-3","pnml","36","0.38","47","0.49",
"rwmutex-r100w10","pnml","","","","",
"PolyORB-LF-S02-J06-T06-unfolded","pnml","","","","",
"FMS-100","pnml","","","","",
"ring","pnml","1743","0.14413","2225.3","0.18401",
"PolyORB-LF-S06-J06-T08-unfolded","pnml","","","","",
"angiogenesis-15","pnml","","","","",
"PolyORB-NT-S10-J80-unfolded","pnml","","","","",
"2D8_gradient_10x10_10","pnml","6432","0.094035","7565","0.1106",
"shared_memory-pt-10","pnml","14390","0.52308","20131","0.73176",
"BridgeAndVehicles-V80-P20-N50-unfolded","pnml","","","","",
"shared_memory-pt-10","pnml","14390","0.52308","20131","0.73176",
"lamport_fmea-2","pnml","1832","0.2766","1933","0.2919",
"BridgeAndVehicles-V20-P20-N20-unfolded","pnml","","","","",
"shared_memory-pt-200","pnml","","","","",
"CircularTrain-024","pnml","205","0.178","235.5","0.2045",
"30-10_phaseVariation","pnml","","","","",
"BridgeAndVehicles-V80-P20-N50-unfolded","pnml","","","","",
"FMS-500","pnml","","","","",
"lamport_fmea-8","pnml","","","","",
"parking_1_4","pnml","884","0.1402","1219","0.1933",
"10-100_phaseVariation","pnml","","","","",
"rwmutex-r10w1000","pnml","2058176","0.5019207","2745520","0.6695409",
"Philosophers-2000","pnml","","","","",
"neoelection-3.unf","pnml","","","","",
"RAS-C-15","pnml","460","0.08519","484.9","0.08979",
"SwimmingPool-10","pnml","","","","",
"Kanban-50","pnml","","","","",
"IOTP_c3m3p3d3","pnml","602","0.1205","790.6","0.1583",
"MAPK-8","pnml","126","0.191","146","0.222",
"PolyORB-LF-S06-J04-T06-unfolded","pnml","","","","",
"2D8_gradient_5x5_250","pnml","","","","",
"philo_dyn-10-unfolded","pnml","","","","",
"Kanban-20","pnml","53","0.207","63.4","0.248",
"PolyORB-NT-S10-J80-unfolded","pnml","","","","",
"neoelection-6.unf","pnml","","","","",
"2D8_gradient_30x30_100","pnml","","","","",
"neoelection-4.unf","pnml","","","","",
"Philosophers-100","pnml","3778","0.015112","3824.34","0.0152973",
"FMS-50","pnml","70","0.159","75.7","0.172",
"dekker-15","pnml","10193","0.53297","15350","0.8026",
"PolyORB-LF-S02-J04-T10-unfolded","pnml","","","","",
"2D8_gradient_20x20_100","pnml","","","","",
"erk-000001","pnml","39","0.322","45.8","0.379",
"FMS-5","pnml","70","0.159","75.7","0.172",
"SafeBus-10-unfolded","pnml","","","","",
"Kanban-5","pnml","53","0.207","63.4","0.248",
"2D8_gradient_20x20_150","pnml","","","","",
"philo_dyn-3-unfolded","pnml","1266","0.5024","1713","0.6799",
"BridgeAndVehicles-V20-P20-N20-unfolded","pnml","","","","",
"BridgeAndVehicles-V20-P20-N20-unfolded","pnml","","","","",
"FMS-20","pnml","70","0.159","75.7","0.172",
"MAPK-8","pnml","126","0.191","146","0.222",
"shared_memory-pt-5","pnml","1078","0.478","1551","0.6878",
"PolyORB-LF-S02-J06-T08-unfolded","pnml","","","","",
"SwimmingPool-8","pnml","","","","",
"Kanban-50","pnml","","","","",
"shared_memory-pt-20","pnml","","","","",
"SwimmingPool-5","pnml","31","0.49","41","0.65",
"raft_10","pnml","","","","",
"neoelection-7.unf","pnml","","","","",
"IBMB2S565S3960","pnml","1482","0.030327","1492","0.030532",
"eratosthenes-200","pnml","","","","",
"Philosophers-50","pnml","1878","0.030048","1923","0.030768",
"echo-d2r11","pnml","73741","0.0753993","78691.6","0.0804612",
"2D8_gradient_5x5_50","pnml","714","0.1983","851.7","0.2366",
"Philosophers-2000","pnml","78303","0.00078303","78580.409","0.00078580409",
"BridgeAndVehicles-V50-P50-N10-unfolded","pnml","","","","",
"Philosophers-10000","pnml","379977","0.0001519908","380024.7943","0.0001520099177",
"echo-d2r19","pnml","","","","",
"RAS-R-5","pnml","62","0.258","75.2","0.313",
"2D8_gradient_5x5_300","pnml","","","","",
"BridgeAndVehicles-V20-P10-N10-unfolded","pnml","","","","",
"RAS-R-20","pnml","257","0.07649","272.3","0.08104",
"SwimmingPool-1","pnml","31","0.49","41","0.65",
"IBM319","pnml","1341","0.029778","1340.4","0.029765",
"2D8_gradient_5x5_250","pnml","","","","",
"soli2_counter","pnml","","","","",
"TokenRing-30-unfolded","pnml","","","","",
"parking_1_4","pnml","884","0.1402","1219","0.1933",
"MultiwaySync","pnml","18444","0.176019","24186.3","0.230821",
"PolyORB-LF-S04-J04-T06-unfolded","pnml","","","","",
"simple_lbs-15","pnml","","","","",
"IBMB2S565S3960","pnml","","","","",
"BridgeAndVehicles-V10-P10-N10-unfolded","pnml","6601","0.4775","9084.9","0.65718",
"IOTP_c3m3p3d3","pnml","602","0.1205","790.6","0.1583",
"PolyORB-NT-S05-J30-unfolded","pnml","","","","",
"shared_memory-pt-100","pnml","105509029","0.50958212","141213296","0.682024768",
"cs_repetitions-4-unfolded","pnml","","","","",
"lamport_fmea-3","pnml","4029","0.25827","3972.4","0.25464",
"rwmutex-r1000w10","pnml","","","","",
"CircularTrain-048","pnml","423","0.0918","454.5","0.09863",
"TokenRing-40-unfolded","pnml","","","","",
"echo-d3r3","pnml","","","","",
"30-10_phaseVariation","pnml","","","","",
"PolyORB-LF-S06-J06-T04-unfolded","pnml","","","","",
"RAS-R-3","pnml","","","","",
"erk-000100","pnml","","","","",
"2-10_phaseVariation","pnml","678","0.745","1.05e+03","1.15",
"distributeur-01-unfolded-10","pnml","","","","",
"eratosthenes-100","pnml","","","","",
"PolyORB-LF-S02-J06-T08-unfolded","pnml","","","","",
"2D8_gradient_40x40_150","pnml","","","","",
"BridgeAndVehicles-V80-P20-N20-unfolded","pnml","","","","",
"shared_memory-pt-50","pnml","","","","",
"raft_07","pnml","","","","",
"parking_4_32","pnml","30613","0.0737192","36105.8","0.0869463",
"2D8_gradient_30x30_10","pnml","","","","",
"RAS-R-5","pnml","62","0.258","75.2","0.313",
"shared_memory-pt-10","pnml","14390","0.52308","20131","0.73176",
"rwmutex-r20w10","pnml","1646","0.3429","2774","0.5778",
"EnergyBus","pnml","483379","0.694999","817255","1.17504",
"PolyORB-LF-S04-J04-T08-unfolded","pnml","","","","",
"railroad-100-pt","pnml","","","","",
