"filename","filetype","event-span","event-span-norm","weighted-event-span","weighted-event-span-norm"
"adding.1","dve2C",12,0.4,12,0.4
"adding.2","dve2C",12,0.4,12,0.4
"adding.3","dve2C",12,0.4,12,0.4
"adding.4","dve2C",12,0.4,12,0.4
"adding.5","dve2C",12,0.4,12,0.4
"adding.6","dve2C",12,0.4,12,0.4
"anderson.1","dve2C",34,0.4,41,0.48
"anderson.2","dve2C",69,0.383,88.6,0.492
"anderson.3","dve2C",69,0.383,88.6,0.492
"anderson.4","dve2C",115,0.369,153,0.491
"anderson.5","dve2C",,,,
"anderson.6","dve2C",255,0.373,354,0.518
"anderson.7","dve2C",255,0.373,354,0.518
"anderson.8","dve2C",349,0.378,490,0.531
"at.1","dve2C",131,0.305,158,0.367
"at.2","dve2C",131,0.305,158,0.367
"at.3","dve2C",187,0.273,228,0.333
"at.4","dve2C",253,0.255,314,0.316
"at.5","dve2C",253,0.255,314,0.316
"at.6","dve2C",253,0.255,314,0.316
"at.7","dve2C",329,0.2419,413.1,0.3038
"bakery.1","dve2C",,,,
"bakery.2","dve2C",,,,
"bakery.3","dve2C",,,,
"bakery.4","dve2C",,,,
"bakery.5","dve2C",,,,
"bakery.6","dve2C",,,,
"bakery.7","dve2C",,,,
"bakery.8","dve2C",,,,
"blocks.2","dve2C",232,0.829,411,1.47
"blocks.3","dve2C",395,0.844,711,1.52
"blocks.4","dve2C",,,,
"bopdp.1","dve2C",434,0.2113,534,0.26
"bopdp.2","dve2C",295,0.1556,321.8,0.1697
"bopdp.3","dve2C",434,0.2113,534,0.26
"bridge.1","dve2C",295,0.72,442,1.08
"bridge.2","dve2C",513,0.701,751,1.03
"bridge.3","dve2C",771,0.6799,1105,0.9746
"brp.1","dve2C",,,,
"brp.2","dve2C",,,,
"brp2.1","dve2C",196,0.313,250,0.399
"brp2.2","dve2C",196,0.313,250,0.399
"brp2.3","dve2C",196,0.313,250,0.399
"brp2.4","dve2C",196,0.313,250,0.399
"brp2.5","dve2C",196,0.313,250,0.399
"brp2.6","dve2C",196,0.313,250,0.399
"brp.3","dve2C",,,,
"brp.4","dve2C",,,,
"brp.5","dve2C",,,,
"brp.6","dve2C",,,,
"cambridge.1","dve2C",517,0.5129,729.7,0.7239
"cambridge.2","dve2C",527,0.5048,738.6,0.7074
"cambridge.3","dve2C",589,0.5259,855.4,0.7638
"cambridge.4","dve2C",625,0.5073,922.5,0.7488
"cambridge.5","dve2C",1024,0.5517,1625,0.8756
"cambridge.6","dve2C",1348,0.5731,2234,0.9498
"cambridge.7","dve2C",1734,0.5749,2920,0.9682
"collision.1","dve2C",115,0.265,137,0.315
"collision.2","dve2C",115,0.265,137,0.315
"collision.3","dve2C",168,0.222,193,0.256
"collision.4","dve2C",226,0.1938,276.9,0.2375
"collision.5","dve2C",226,0.1938,276.9,0.2375
"collision.6","dve2C",291,0.1749,348,0.2091
"cyclic_scheduler.1","dve2C",216,0.1406,247,0.1608
"cyclic_scheduler.2","dve2C",132,0.22,161,0.269
"cyclic_scheduler.3","dve2C",360,0.08876,394.4,0.09724
"cyclic_scheduler.4","dve2C",246,0.1265,278.9,0.1435
"driving_phils.1","dve2C",,,,
"driving_phils.2","dve2C",,,,
"driving_phils.3","dve2C",,,,
"driving_phils.4","dve2C",,,,
"driving_phils.5","dve2C",,,,
"elevator.1","dve2C",286,0.2788,359.1,0.35
"elevator.2","dve2C",262,0.341,310,0.403
"elevator2.1","dve2C",33,0.214,35.1,0.228
"elevator2.2","dve2C",91,0.211,119,0.276
"elevator2.3","dve2C",136,0.296,143,0.312
"elevator.3","dve2C",747,0.378,984.7,0.4983
"elevator.4","dve2C",499,0.315,686.7,0.4335
"elevator.5","dve2C",,,,
"elevator_planning.1","dve2C",,,,
"elevator_planning.2","dve2C",,,,
"elevator_planning.3","dve2C",,,,
"exit.1","dve2C",376,0.3214,437.5,0.3739
"exit.2","dve2C",804,0.3226,984.7,0.3952
