"filename","filetype","order","saturation","sat.granularity","timeAvg","timeSd","solvedCount","peak.nodes","timeBest","memBest","timeMark","memMark"
"2-10_phaseVariation","pnml","bfs","none",,0.595,0.0150923085635624,10,3723,0.169,3723,3.5207100591716,1
"2-10_phaseVariation","pnml","bfs","sat-like",1,0.204,0.0126491106406735,10,3927,0.169,3723,1.20710059171598,1.05479452054795
"2-10_phaseVariation","pnml","bfs","sat-like",5,0.497,0.0770353454230228,10,3723,0.169,3723,2.94082840236686,1
"2-10_phaseVariation","pnml","bfs","sat-like",10,0.514,0.0671978835645555,10,3723,0.169,3723,3.0414201183432,1
"2-10_phaseVariation","pnml","bfs","sat-like",2147483647,0.64125,0.106100762461312,40,3723,0.169,3723,3.79437869822485,1
"2-10_phaseVariation","pnml","bfs","sat-loop",1,0.213,0.0156702123647242,10,3723,0.169,3723,1.2603550295858,1
"2-10_phaseVariation","pnml","bfs","sat-loop",5,0.522,0.060882400303098,10,3723,0.169,3723,3.0887573964497,1
"2-10_phaseVariation","pnml","bfs","sat-loop",10,0.522,0.0168654808542314,10,3723,0.169,3723,3.0887573964497,1
"2-10_phaseVariation","pnml","bfs","sat-loop",2147483647,0.65425,0.10275406286808,40,3723,0.169,3723,3.87130177514793,1
"2-10_phaseVariation","pnml","bfs-prev","none",,0.424,0.0134989711542111,10,3723,0.169,3723,2.50887573964497,1
"2-10_phaseVariation","pnml","bfs-prev","sat-like",1,0.185,0.0227303028283098,10,3927,0.169,3723,1.09467455621302,1.05479452054795
"2-10_phaseVariation","pnml","bfs-prev","sat-like",5,0.416,0.0800277729569207,10,3723,0.169,3723,2.46153846153846,1
"2-10_phaseVariation","pnml","bfs-prev","sat-like",10,0.409,0.0422821212544709,10,3723,0.169,3723,2.42011834319527,1
"2-10_phaseVariation","pnml","bfs-prev","sat-like",2147483647,0.46925,0.0588517258967453,40,3723,0.169,3723,2.77662721893491,1
"2-10_phaseVariation","pnml","bfs-prev","sat-loop",1,0.173,0.0163639169448448,10,3723,0.169,3723,1.02366863905325,1
"2-10_phaseVariation","pnml","bfs-prev","sat-loop",5,0.389,0.0324722103412201,10,3723,0.169,3723,2.30177514792899,1
"2-10_phaseVariation","pnml","bfs-prev","sat-loop",10,0.383,0.0133749350984926,10,3723,0.169,3723,2.26627218934911,1
"2-10_phaseVariation","pnml","bfs-prev","sat-loop",2147483647,0.45125,0.0376343746307303,40,3723,0.169,3723,2.67011834319527,1
"2-10_phaseVariation","pnml","chain","none",,0.274,0.0107496769977314,10,3815,0.169,3723,1.62130177514793,1.02471125436476
"2-10_phaseVariation","pnml","chain","sat-like",1,0.221,0.0284604989415154,10,3933,0.169,3723,1.30769230769231,1.05640612409347
"2-10_phaseVariation","pnml","chain","sat-like",5,0.281,0.0276686746259295,10,3723,0.169,3723,1.66272189349112,1
"2-10_phaseVariation","pnml","chain","sat-like",10,0.296,0.0126491106406735,10,3723,0.169,3723,1.75147928994083,1
"2-10_phaseVariation","pnml","chain","sat-like",2147483647,0.2875,0.0447070234830943,40,3815,0.169,3723,1.70118343195266,1.02471125436476
"2-10_phaseVariation","pnml","chain","sat-loop",1,0.211,0.00737864787372622,10,3725,0.169,3723,1.24852071005917,1.00053720118184
"2-10_phaseVariation","pnml","chain","sat-loop",5,0.315,0.0143372087784044,10,3723,0.169,3723,1.86390532544379,1
"2-10_phaseVariation","pnml","chain","sat-loop",10,0.336,0.0505964425626941,10,3723,0.169,3723,1.98816568047337,1
"2-10_phaseVariation","pnml","chain","sat-loop",2147483647,0.28525,0.0413234582910023,40,3815,0.169,3723,1.68786982248521,1.02471125436476
"2-10_phaseVariation","pnml","chain-prev","none",,0.273,0.00674948557710553,10,3815,0.169,3723,1.61538461538462,1.02471125436476
"2-10_phaseVariation","pnml","chain-prev","sat-like",1,0.19,0.0205480466765633,10,3933,0.169,3723,1.12426035502959,1.05640612409347
"2-10_phaseVariation","pnml","chain-prev","sat-like",5,0.286,0.0365756445982539,10,3723,0.169,3723,1.69230769230769,1
"2-10_phaseVariation","pnml","chain-prev","sat-like",10,0.281,0.0196920739836559,10,3723,0.169,3723,1.66272189349112,1
"2-10_phaseVariation","pnml","chain-prev","sat-like",2147483647,0.29475,0.0394180422050874,40,3815,0.169,3723,1.74408284023669,1.02471125436476
"2-10_phaseVariation","pnml","chain-prev","sat-loop",1,0.169,0.0144913767461894,10,3725,0.169,3723,1,1.00053720118184
"2-10_phaseVariation","pnml","chain-prev","sat-loop",5,0.256,0.0142984070596848,10,3723,0.169,3723,1.51479289940828,1
"2-10_phaseVariation","pnml","chain-prev","sat-loop",10,0.268,0.00918936583472682,10,3723,0.169,3723,1.58579881656805,1
"2-10_phaseVariation","pnml","chain-prev","sat-loop",2147483647,0.27675,0.0140306441177508,40,3815,0.169,3723,1.63757396449704,1.02471125436476
"2D8_gradient_10x10_10","pnml","bfs","none",,70.616,1.61270786773881,10,28929,1.458,6490,48.4334705075446,4.45747303543914
"2D8_gradient_10x10_10","pnml","bfs","sat-like",1,3.341,0.178478134359491,10,6490,1.458,6490,2.29149519890261,1
"2D8_gradient_10x10_10","pnml","bfs","sat-like",5,4.612,0.888516866594114,10,6490,1.458,6490,3.16323731138546,1
"2D8_gradient_10x10_10","pnml","bfs","sat-like",10,6.328,1.20744726132817,10,6565,1.458,6490,4.34019204389575,1.0115562403698
"2D8_gradient_10x10_10","pnml","bfs","sat-like",20,11.361,1.0699579430987,10,9046,1.458,6490,7.79218106995885,1.39383667180277
"2D8_gradient_10x10_10","pnml","bfs","sat-like",40,20.125,1.29682732509425,10,11064,1.458,6490,13.8031550068587,1.70477657935285
"2D8_gradient_10x10_10","pnml","bfs","sat-like",80,53.098,4.083783104481,10,24346,1.458,6490,36.4183813443073,3.75130970724191
"2D8_gradient_10x10_10","pnml","bfs","sat-like",2147483647,72.983,4.79047214096203,10,28929,1.458,6490,50.056927297668,4.45747303543914
"2D8_gradient_10x10_10","pnml","bfs","sat-loop",1,7.026,0.243502224493604,10,6531,1.458,6490,4.81893004115226,1.00631741140216
"2D8_gradient_10x10_10","pnml","bfs","sat-loop",5,11.931,0.448068695130061,10,6892,1.458,6490,8.18312757201646,1.06194144838213
"2D8_gradient_10x10_10","pnml","bfs","sat-loop",10,12.453,0.519894220010186,10,6550,1.458,6490,8.54115226337449,1.00924499229584
"2D8_gradient_10x10_10","pnml","bfs","sat-loop",20,15.273,0.733894482273243,10,9046,1.458,6490,10.4753086419753,1.39383667180277
"2D8_gradient_10x10_10","pnml","bfs","sat-loop",40,19.824,0.599077067941457,10,11064,1.458,6490,13.59670781893,1.70477657935285
"2D8_gradient_10x10_10","pnml","bfs","sat-loop",80,56.458,9.24822241178151,10,24346,1.458,6490,38.7229080932785,3.75130970724191
"2D8_gradient_10x10_10","pnml","bfs","sat-loop",2147483647,70.403,2.17964344688657,10,28929,1.458,6490,48.2873799725652,4.45747303543914
"2D8_gradient_10x10_10","pnml","bfs-prev","none",,67.286,1.76533408862018,10,28929,1.458,6490,46.1495198902606,4.45747303543914
"2D8_gradient_10x10_10","pnml","bfs-prev","sat-like",1,3.536,0.235805946584145,10,6490,1.458,6490,2.42524005486968,1
"2D8_gradient_10x10_10","pnml","bfs-prev","sat-like",5,3.919,0.420989574956699,10,6490,1.458,6490,2.68792866941015,1
"2D8_gradient_10x10_10","pnml","bfs-prev","sat-like",10,5.297,0.207955657666618,10,6565,1.458,6490,3.63305898491084,1.0115562403698
"2D8_gradient_10x10_10","pnml","bfs-prev","sat-like",20,11.007,1.26975981980845,10,9046,1.458,6490,7.54938271604938,1.39383667180277
"2D8_gradient_10x10_10","pnml","bfs-prev","sat-like",40,21.192,3.22532616782999,10,11064,1.458,6490,14.5349794238683,1.70477657935285
"2D8_gradient_10x10_10","pnml","bfs-prev","sat-like",80,51.456,2.65522629292998,10,24346,1.458,6490,35.2921810699589,3.75130970724191
"2D8_gradient_10x10_10","pnml","bfs-prev","sat-like",2147483647,72.956,4.38796890498453,10,28929,1.458,6490,50.0384087791495,4.45747303543914
"2D8_gradient_10x10_10","pnml","bfs-prev","sat-loop",1,6.832,0.660720145834158,10,6531,1.458,6490,4.68587105624143,1.00631741140216
"2D8_gradient_10x10_10","pnml","bfs-prev","sat-loop",5,10.024,0.636504342308658,10,6892,1.458,6490,6.87517146776406,1.06194144838213
"2D8_gradient_10x10_10","pnml","bfs-prev","sat-loop",10,10.316,0.544430385306004,10,6550,1.458,6490,7.07544581618656,1.00924499229584
"2D8_gradient_10x10_10","pnml","bfs-prev","sat-loop",20,13.319,0.436639948292005,10,9046,1.458,6490,9.13511659807956,1.39383667180277
"2D8_gradient_10x10_10","pnml","bfs-prev","sat-loop",40,19.539,0.520180524219985,10,11064,1.458,6490,13.4012345679012,1.70477657935285
"2D8_gradient_10x10_10","pnml","bfs-prev","sat-loop",80,51.025,3.42473437737229,10,24346,1.458,6490,34.9965706447188,3.75130970724191
"2D8_gradient_10x10_10","pnml","bfs-prev","sat-loop",2147483647,68.929,1.67182169437347,10,28929,1.458,6490,47.2764060356653,4.45747303543914
"2D8_gradient_10x10_10","pnml","chain","none",,13.649,0.467081958071124,10,15799,1.458,6490,9.36145404663923,2.43436055469954
"2D8_gradient_10x10_10","pnml","chain","sat-like",1,1.458,0.153680765802939,10,6490,1.458,6490,1,1
"2D8_gradient_10x10_10","pnml","chain","sat-like",5,1.694,0.152839785396342,10,6490,1.458,6490,1.16186556927298,1
"2D8_gradient_10x10_10","pnml","chain","sat-like",10,2.548,0.562806459727597,10,6599,1.458,6490,1.74759945130315,1.01679506933744
"2D8_gradient_10x10_10","pnml","chain","sat-like",20,2.573,0.283315685724913,10,6995,1.458,6490,1.76474622770919,1.07781201848998
"2D8_gradient_10x10_10","pnml","chain","sat-like",40,3.265,0.258983053928673,10,7421,1.458,6490,2.23936899862826,1.14345146379045
"2D8_gradient_10x10_10","pnml","chain","sat-like",80,12.465,0.950184192670032,10,17047,1.458,6490,8.54938271604938,2.626656394453
"2D8_gradient_10x10_10","pnml","chain","sat-like",2147483647,14.875,1.53123225613302,10,15799,1.458,6490,10.2023319615912,2.43436055469954
"2D8_gradient_10x10_10","pnml","chain","sat-loop",1,5.604,0.413499966411392,10,6490,1.458,6490,3.84362139917695,1
"2D8_gradient_10x10_10","pnml","chain","sat-loop",5,5.149,0.430282852706604,10,6518,1.458,6490,3.53155006858711,1.00431432973806
"2D8_gradient_10x10_10","pnml","chain","sat-loop",10,5.68,0.543731960109432,10,6490,1.458,6490,3.8957475994513,1
"2D8_gradient_10x10_10","pnml","chain","sat-loop",20,3.55,0.107909427041591,10,6490,1.458,6490,2.43484224965706,1
"2D8_gradient_10x10_10","pnml","chain","sat-loop",40,3.328,0.406551896372953,10,7421,1.458,6490,2.28257887517147,1.14345146379045
"2D8_gradient_10x10_10","pnml","chain","sat-loop",80,12.024,0.398837198755471,10,17047,1.458,6490,8.24691358024691,2.626656394453
"2D8_gradient_10x10_10","pnml","chain","sat-loop",2147483647,13.78,0.403402197977816,10,15799,1.458,6490,9.45130315500686,2.43436055469954
"2D8_gradient_10x10_10","pnml","chain-prev","none",,24.219,0.780291256163007,10,15799,1.458,6490,16.6111111111111,2.43436055469954
"2D8_gradient_10x10_10","pnml","chain-prev","sat-like",1,1.546,0.215210491276693,10,6490,1.458,6490,1.06035665294925,1
"2D8_gradient_10x10_10","pnml","chain-prev","sat-like",5,1.881,0.214499417248626,10,6490,1.458,6490,1.29012345679012,1
"2D8_gradient_10x10_10","pnml","chain-prev","sat-like",10,2.871,0.258691150044046,10,6599,1.458,6490,1.96913580246914,1.01679506933744
"2D8_gradient_10x10_10","pnml","chain-prev","sat-like",20,3.472,0.163896986617272,10,6995,1.458,6490,2.38134430727023,1.07781201848998
"2D8_gradient_10x10_10","pnml","chain-prev","sat-like",40,5.347,1.11314419551108,10,7421,1.458,6490,3.66735253772291,1.14345146379045
