filename,filetype,order,saturation,sat.granularity,timeAvg,timeSd,solvedCount,peak.nodes,timeBest,memBest,timeMark,memMark,minMemMark,maxSolvedCount,minSd
2-10_phaseVariation,pnml,chain-prev,sat-loop,1,0.169,0.0144913767,10,3725,0.169,3723,1,1.0005372012,1.0005372012,10,0.0144913767
2D8_gradient_10x10_10,pnml,chain,sat-like,1,1.458,0.1536807658,10,6490,1.458,6490,1,1,1,10,0.1536807658
2D8_gradient_10x10_100,pnml,bfs-prev,sat-like,1,1407.427,632.1166489581,3,,1407.427,505000,1,,,3,632.1166489581
2D8_gradient_10x10_50,pnml,chain-prev,sat-like,1,46.255,2.5242039449,10,130050,46.255,130050,1,1,1,10,2.5242039449
2D8_gradient_20x20_10,pnml,chain,sat-like,5,30.428,3.4427566474,10,26290,30.428,26290,1,1,1,10,3.4427566474
2D8_gradient_30x30_10,pnml,chain-prev,sat-like,5,145.011,14.225858654,10,59290,145.011,59290,1,1,1,10,14.225858654
2D8_gradient_40x40_10,pnml,chain-prev,sat-like,20,1515.954,598.8226788587,2,,1515.954,,1,,,2,598.8226788587
2D8_gradient_5x5_10,pnml,chain,sat-like,1,0.104,0.010749677,10,1540,0.104,1540,1,1,1,10,0.010749677
2D8_gradient_5x5_100,pnml,bfs-prev,sat-like,1,24.508,1.339517326,10,118675,24.508,118675,1,1,1,10,1.339517326
2D8_gradient_5x5_150,pnml,bfs-prev,sat-like,1,82.662,4.8565140676,10,264250,82.662,264250,1,1,1,10,4.8565140676
2D8_gradient_5x5_200,pnml,bfs-prev,sat-like,1,383.991,497.5642382302,9,,383.991,,1,,,9,497.5642382302
2D8_gradient_5x5_50,pnml,bfs-prev,sat-like,1,3.824,0.4392721252,10,30600,3.824,30600,1,1,1,10,0.4392721252
5-10_phaseVariation,pnml,chain-prev,sat-like,1,39.695,6.3824538123,10,58336,39.695,33456,1,1.743663319,1.743663319,10,6.3824538123
adding.1,dve2C,bfs-prev,sat-loop,20,0.059,0.0056764621,10,3663,0.059,3221,1,1.1372244645,1.1372244645,10,0.0056764621
adding.2,dve2C,bfs-prev,sat-loop,10,18.41,0.5822561483,10,452040,18.41,376132,1,1.2018121298,1.2018121298,10,0.5822561483
adding.3,dve2C,bfs-prev,sat-like,80,58.677,2.2747163437,10,1043085,58.677,864201,1,1.2069935119,1.2069935119,10,2.2747163437
adding.4,dve2C,bfs-prev,sat-loop,10,131.966,4.172258115,10,1878827,131.966,1558102,1,1.2058433915,1.2058433915,10,4.172258115
adding.5,dve2C,bfs-prev,sat-loop,40,716.938,747.4151539331,7,2964405,716.938,2448215,1,1.2108434104,1.2108434104,7,747.4151539331
adding.6,dve2C,bfs-prev,sat-loop,40,1261.795,694.8205398079,4,,1261.795,4164989,1,,,4,694.8205398079
afcs_01_a,pnml,chain,sat-loop,10,0.011,0.0056764621,10,232,0.011,155,1,1.4967741935,1.4967741935,10,0.0056764621
afcs_01_b,pnml,chain,sat-like,5,0.781,0.0960844536,10,6351,0.781,6057,1,1.0485388806,1.0485388806,10,0.0960844536
afcs_02_a,pnml,chain,sat-like,1,0.025,0.0052704628,10,407,0.025,407,1,1,1,10,0.0052704628
afcs_02_b,pnml,chain-prev,sat-like,5,26.645,2.1654111747,10,104261,26.645,103841,1,1.0040446452,1.0040446452,10,2.1654111747
afcs_03_a,pnml,chain,sat-like,5,0.185,0.0206827894,10,1310,0.185,1310,1,1,1,10,0.0206827894
afcs_03_b,pnml,chain-prev,sat-like,5,133.895,7.1225436312,10,478655,133.895,478648,1,1.0000146245,1.0000146245,10,7.1225436312
afcs_04_a,pnml,chain,sat-like,5,0.403,0.0249666444,10,3985,0.403,3985,1,1,1,10,0.0249666444
afcs_05_a,pnml,chain,sat-like,5,1.324,0.1562192192,10,5620,1.324,5620,1,1,1,10,0.1562192192
afcs_06_a,pnml,chain,sat-like,5,2.642,0.0862554346,10,23832,2.642,23832,1,1,1,10,0.0862554346
afcs_12_a,pnml,chain-prev,sat-like,1,6.437,0.4962313529,10,3793,6.437,3793,1,1,1,10,0.4962313529
afcs_24_a,pnml,chain-prev,sat-like,1,81.89,4.3684983436,10,12469,81.89,12469,1,1,1,10,4.3684983436
AirplaneLD-pt-0010,pnml,chain,sat-loop,20,0.033,0.008232726,10,455,0.033,455,1,1,1,10,0.008232726
AirplaneLD-pt-0020,pnml,chain-prev,sat-loop,20,0.105,0.0052704628,10,854,0.105,854,1,1,1,10,0.0052704628
AirplaneLD-pt-0050,pnml,chain,sat-loop,80,0.544,0.0236643191,10,2039,0.544,2039,1,1,1,10,0.0236643191
AirplaneLD-pt-0100,pnml,chain-prev,sat-loop,20,2.042,0.2017038533,10,4035,2.042,4035,1,1,1,10,0.2017038533
AirplaneLD-pt-0200,pnml,chain-prev,sat-loop,40,7.94,0.5867424194,10,7985,7.94,7985,1,1,1,10,0.5867424194
AirplaneLD-pt-0500,pnml,chain-prev,sat-loop,10,52.97,5.6297779708,10,19835,52.97,19835,1,1,1,10,5.6297779708
AirplaneLD-pt-1000,pnml,bfs-prev,sat-loop,40,1396.904,649.0473589329,3,,1396.904,,1,,,3,649.0473589329
anderson.1,dve2C,bfs-prev,sat-loop,5,3.446,0.0915544768,10,40659,3.446,40656,1,1.0000737898,1.0000737898,10,0.0915544768
anderson.2,dve2C,chain-prev,sat-like,1,0.023,0.0067494856,10,588,0.023,588,1,1,1,10,0.0067494856
anderson.3,dve2C,bfs-prev,sat-like,2147483647,1273.991,679.0747798038,4,,1273.991,,1,,,4,679.0747798038
anderson.4,dve2C,chain-prev,sat-like,1,0.145,0.0052704628,10,3399,0.145,2808,1,1.2104700855,1.2104700855,10,0.0052704628
anderson.6,dve2C,bfs-prev,sat-like,1,5.56,0.1345775283,10,92177,5.56,56618,1,1.6280511498,1.6280511498,10,0.1345775283
anderson.8,dve2C,bfs-prev,sat-like,1,35.278,0.8797954308,10,487297,35.278,393528,1,1.2382778354,1.2382778354,10,0.8797954308
angiogenesis-01,pnml,chain-prev,sat-loop,2147483647,0.02,0.0047140452,10,343,0.02,323,1,1.0619195046,1.0619195046,10,0.0047140452
angiogenesis-05,pnml,chain,sat-like,5,1.347,0.1699705857,10,19000,1.347,17626,1,1.0779530239,1.0779530239,10,0.1699705857
angiogenesis-10,pnml,chain,sat-like,5,27.479,3.1448704266,10,230138,27.479,229164,1,1.0042502313,1.0042502313,10,3.1448704266
angiogenesis-15,pnml,chain,sat-like,5,404.542,490.3617340925,9,1269833,404.542,1269833,1,1,1,9,490.3617340925
at.1,dve2C,chain-prev,sat-like,1,0.152,0.0078881064,10,2933,0.152,2771,1,1.0584626489,1.0584626489,10,0.0078881064
at.2,dve2C,chain-prev,sat-like,1,0.205,0.0084983659,10,3480,0.205,3414,1,1.0193321617,1.0193321617,10,0.0084983659
at.3,dve2C,chain-prev,sat-like,1,2.707,0.0605621811,10,38612,2.707,38612,1,1,1,10,0.0605621811
at.4,dve2C,bfs-prev,sat-like,1,4.405,0.1687371394,10,51280,4.405,51280,1,1,1,10,0.1687371394
at.5,dve2C,chain-prev,sat-like,1,14.987,0.607674072,10,184322,14.987,184322,1,1,1,10,0.607674072
at.6,dve2C,chain-prev,sat-like,1,76.956,1.691608045,10,785836,76.956,785836,1,1,1,10,1.691608045
at.7,dve2C,chain-prev,sat-like,1,109.442,2.9379425908,10,,109.442,1075423,1,,,10,2.9379425908
blocks.2,dve2C,bfs-prev,sat-like,40,0.172,0.0078881064,10,3066,0.172,2996,1,1.023364486,1.023364486,10,0.0078881064
blocks.3,dve2C,bfs-prev,sat-loop,5,14.005,0.4677428068,10,56599,14.005,55595,1,1.018059178,1.018059178,10,0.4677428068
bopdp.1,dve2C,chain-prev,sat-like,1,0.226,0.0171269768,10,2497,0.226,2497,1,1,1,10,0.0171269768
